verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
169593,<LH[,MT,2_Samuel,15,30,<LW,W DWD <LH B M<LH H ZJTJM <LH W BWKH W R>C LW XPWJ W HW> HLK JXP W KL H <M >CR >TW XPW >JC R>CW W <LW <LH W BKH,,qal,perf,W <LW <LH W BKH,,no complement,no complement,,,,,,,,,,,,,,,,,,
169594,<LH[,MT,2_Samuel,15,30,<LH,W DWD <LH B M<LH H ZJTJM <LH W BWKH W R>C LW XPWJ W HW> HLK JXP W KL H <M >CR >TW XPW >JC R>CW W <LW <LH W BKH,,qal,infa,W <LW <LH W BKH,,no complement,no complement,,,,,,,,,,,,,,,,,,
2007638,<LH[,4Q51,2_Samuel,15,30,<WLH,W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW> HWLK JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH,1 1111 1111 1 1111 1 11111 1 111 11 1111 1 111 0000 111 1 111 1 11 111 111 111 111 1111 1 111 1111 1 1111,qal,ptca,None,None,,,,,,,,,,,,,,,,,,,,[W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW>] HWLK [JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH]
2007649,HLK[,4Q51,2_Samuel,15,30,HWLK,W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW> HWLK JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH,1 1111 1111 1 1111 1 11111 1 111 11 1111 1 111 0000 111 1 111 1 11 111 111 111 111 1111 1 111 1111 1 1111,qal,ptca,None,None,,,,,,,,,,,,,,,,,,,,[W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW>] HWLK [JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH]
2007661,<LH[,4Q51,2_Samuel,15,30,<LW,W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW> HWLK JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH,1 1111 1111 1 1111 1 11111 1 111 11 1111 1 111 0000 111 1 111 1 11 111 111 111 111 1111 1 111 1111 1 1111,qal,perf,None,None,,,,,,,,,,,,,,,,,,,,[W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW>] HWLK [JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH]
2007662,<LH[,4Q51,2_Samuel,15,30,<LWH,W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW> HWLK JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH,1 1111 1111 1 1111 1 11111 1 111 11 1111 1 111 0000 111 1 111 1 11 111 111 111 111 1111 1 111 1111 1 1111,qal,infa,None,None,,,,,,,,,,,,,,,,,,,,[W DWJD <WLH B M<LH H ZJTJM W R>C LW XPWJ W HW>] HWLK [JXP W KWL H <M >CR >TW XPW >JC R>CW W <LW <LWH W BKWH]
169620,BW>[,MT,2_Samuel,15,32,B>,W JHJ DWD B> <D H R>C >CR JCTXWH CM L >LHJM W HNH L QR>TW XWCJ H >RKJ QRW< KTNTW W >DMH <L R>CW,,qal,ptca,DWD B> <D H R>C,DWD,<D H R>C,<D H R>C/,,0,prep,,,det,subs,simple,,,<D,,,,,,,
169647,<BR[,MT,2_Samuel,15,33,<BRT,W J>MR LW DWD >M <BRT >TJ W HJT <LJ L MF>,,qal,perf,>M <BRT >TJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
169658,CWB[,MT,2_Samuel,15,34,TCWB,W >M H <JR TCWB W >MRT L >BCLWM <BDK >NJ H MLK >HJH <BD >BJK W >NJ M >Z W <TH W >NJ <BDK W HPRTH LJ >T <YT >XJTPL,,qal,impf,W >M H <JR TCWB,,H <JR,H <JR/,,0,vc,,,det,subs,simple,,,,,,,,,,
169736,BW>[,MT,2_Samuel,15,37,JB>,W JB> XWCJ R<H DWD H <JR W >BCLM JB> JRWCLM,,qal,wayq,W JB> XWCJ R<H DWD H <JR,XWCJ R<H DWD,H <JR,H <JR/,,0,vc,,,det,subs,simple,,,,,,,,,,
