verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
358860,CWB[,MT,Song_of_songs,7,1,CWBJ,CWBJ CWBJ H CWLMJT CWBJ CWBJ W NXZH BK MH TXZW B CWLMJT K MXLT H MXNJM,CWBJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
358863,CWB[,MT,Song_of_songs,7,1,CWBJ,CWBJ CWBJ H CWLMJT CWBJ CWBJ W NXZH BK MH TXZW B CWLMJT K MXLT H MXNJM,CWBJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
358864,CWB[,MT,Song_of_songs,7,1,CWBJ,CWBJ CWBJ H CWLMJT CWBJ CWBJ W NXZH BK MH TXZW B CWLMJT K MXLT H MXNJM,CWBJ,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
2056337,CWB[,4Q106,Song_of_songs,7,1,CWBJ,CWBJ CWBJ H CWLMJT W NXZH BK MH TXZW B CWLMJT K MXLT H MXNJM,None,None,,,,,,,,,,,0,,qal,impv,,,,,,,,,
2056338,CWB[,4Q106,Song_of_songs,7,1,CWBJ,CWBJ CWBJ H CWLMJT W NXZH BK MH TXZW B CWLMJT K MXLT H MXNJM,None,None,,,,,,,,,,,0,,qal,impv,,,,,,,,,
358969,<LH[,MT,Song_of_songs,7,9,><LH,>MRTJ ><LH B TMR >XZH B SNSNJW W JHJW N> CDJK K >CKLWT H GPN W RJX >PK K TPWXJM,><LH B TMR,,B TMR,B TMR/,,0,prep,,,und,subs,simple,,,qal,impf,,,B,,,,,,
359009,HLK[,MT,Song_of_songs,7,12,LKH,LKH DWDJ NY> H FDH NLJNH B KPRJM,LKH,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
359011,JY>[,MT,Song_of_songs,7,12,NY>,LKH DWDJ NY> H FDH NLJNH B KPRJM,NY> H FDH,,H FDH,H FDH/,,0,vc,,,det,subs,simple,,,qal,impf,,,,,,,,,
359071,BW>[,MT,Song_of_songs,8,2,>BJ>K,>NHGK >BJ>K >L BJT >MJ TLMDNJ >CQK M JJN H RQX M <SJS RMNJ,>BJ>K >L BJT >MJ,,>L BJT >MJ,>L BJT/ >M/,,0,prep,,,det,subs,complex,,,hif,impf,,,>L,,,,,,
359161,CVP[,MT,Song_of_songs,8,7,JCVPWH,MJM RBJM L> JWKLW L KBWT >T H >HBH W NHRWT L> JCVPWH >M JTN >JC >T KL HWN BJTW B >HBH BWZ JBWZW LW,W NHRWT L> JCVPWH,NHRWT,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
359235,BW>[,MT,Song_of_songs,8,11,JB>,KRM HJH L CLMH B B<L_HMWN NTN >T H KRM L NVRJM >JC JB> B PRJW >LP KSP,>JC JB> B PRJW >LP KSP,>JC,B PRJW,B PRJ/,,0,prep,,,det,subs,complex,,,hif,impf,,,B,,,,,,
359265,BRX[,MT,Song_of_songs,8,14,BRX,BRX DWDJ W DMH LK L YBJ >W L <PR H >JLJM <L HRJ BFMJM,BRX,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
