verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
380536,HLK[,MT,Ezra,6,5,JHK,W >P M>NJ BJT >LH> DJ DHBH W KSP> DJ NBWKDNYR HNPQ MN HJKL> DJ B JRWCLM W HJBL L BBL JHTJBWN W JHK L HJKL> DJ B JRWCLM L >TRH W TXT B BJT >LH>,W JHK L HJKL> L >TRH,,L HJKL> L >TRH,L HJKL/ L >TR/,,0,prep + prep,,,det,subs,complex,,,peal,impf,,,L,L,,,,,
380545,NXT[,MT,Ezra,6,5,TXT,W >P M>NJ BJT >LH> DJ DHBH W KSP> DJ NBWKDNYR HNPQ MN HJKL> DJ B JRWCLM W HJBL L BBL JHTJBWN W JHK L HJKL> DJ B JRWCLM L >TRH W TXT B BJT >LH>,W TXT B BJT >LH>,,B BJT >LH>,B BJT/ >LH/,,0,prep,,,det,subs,complex,,,haf,impf,,,B,,,,,,
2062581,NXT[,4Q117,Ezra,6,5,TXT,W >P M>NJ BJT >LH > DJ DHB H W KSP > DJ NBWKDNYR HNPQ MN HJKL > DJ B JRWCLM W HJBLW L BBL JHTJBWN W JHK L HJKL > DJ B JRWCLM L >TRH W TXT B BJT >LH >,None,None,,,,,,,,,,,0,,afel,impf,,,,,,,,,
380774,JY>[,MT,Ezra,6,15,CJYJ>,W CJYJ> BJTH DNH <D JWM TLTH L JRX >DR DJ HJ> CNT CT L MLKWT DRJWC MLK>,W CJYJ> BJTH DNH <D JWM TLTH L JRX >DR,,no complement,no complement,,,,,,,,,,,shaf,perf,,,,,,,,,
380809,QRB[,MT,Ezra,6,17,HQRBW,W HQRBW L XNKT BJT >LH> DNH TWRJN M>H DKRJN M>TJN >MRJN >RB< M>H W YPJRJ <ZJN L XVJ> <L KL JFR>L TRJ <FR L MNJN CBVJ JFR>L,W HQRBW L XNKT BJT >LH> DNH TWRJN M>H DKRJN M>TJN >MRJN >RB< M>H,,no complement,no complement,,,,,,,,,,,haf,perf,,,,,,,,,
380935,SBB[,MT,Ezra,6,22,HSB,W J<FW XG MYWT CB<T JMJM B FMXH KJ FMXM JHWH W HSB LB MLK >CWR <LJHM L XZQ JDJHM B ML>KT BJT H >LHJM >LHJ JFR>L,W HSB LB MLK >CWR <LJHM,,<LJHM,<L,,0,prep,prsf,,det,prsf,simple,,,hif,perf,,,<L,,,,,,
381028,<LH[,MT,Ezra,7,7,J<LW,W J<LW M BNJ JFR>L W MN H KHNJM W H LWJM W H MCRRJM W H C<RJM W H NTJNJM >L JRWCLM B CNT CB< L >RTXCST> H MLK,W J<LW M BNJ JFR>L W MN H KHNJM W H LWJM W H MCRRJM W H C<RJM W H NTJNJM >L JRWCLM B CNT CB< L >RTXCST> H MLK,M BNJ JFR>L W MN H KHNJM W H LWJM W H MCRRJM W H C<RJM W H NTJNJM,>L JRWCLM,>L JRWCLM/,,0,prep,topo,inanim,det,nmpr,simple,,,qal,wayq,,,>L,,,,,,
381058,BW>[,MT,Ezra,7,8,JB>,W JB> JRWCLM B XDC H XMJCJ HJ> CNT H CBJ<JT L MLK,W JB> JRWCLM B XDC H XMJCJ,,JRWCLM,JRWCLM/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,wayq,,,,,,,,,
381094,BW>[,MT,Ezra,7,9,B>,KJ B >XD L XDC H R>CWN HW> JSD H M<LH M BBL W B >XD L XDC H XMJCJ B> >L JRWCLM K JD >LHJW H VWBH <LJW,W B >XD L XDC H XMJCJ B> >L JRWCLM K JD >LHJW H VWBH <LJW,,>L JRWCLM,>L JRWCLM/,,0,prep,topo,inanim,det,nmpr,simple,,,qal,perf,,,>L,,,,,,
381177,HLK[,MT,Ezra,7,13,MHK,MNJ FJM V<M DJ KL MTNDB B MLKWTJ MN <MH JFR>L W KHNWHJ W LWJ> L MHK L JRWCLM <MK JHK,L MHK L JRWCLM,,L JRWCLM,L JRWCLM/,,0,prep,topo,inanim,det,nmpr,simple,,,peal,infc,,,L,,,,,,
