verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
295742,HLK[,MT,Amos,2,4,HLKW,KH >MR JHWH <L CLCH PC<J JHWDH W <L >RB<H L> >CJBNW <L M>SM >T TWRT JHWH W XQJW L> CMRW W JT<WM KZBJHM >CR HLKW >BWTM >XRJHM,>CR HLKW >BWTM >XRJHM,>BWTM,>XRJHM,>XR/,,0,vc,,,det,subs,complex,,,qal,perf,,,,,,,,,
295765,CWB[,MT,Amos,2,6,>CJBNW,KH >MR JHWH <L CLCH PC<J JFR>L W <L >RB<H L> >CJBNW <L MKRM B KSP YDJQ W >BJWN B <BWR N<LJM,<L CLCH PC<J JFR>L W <L >RB<H L> >CJBNW,,<L CLCH PC<J JFR>L W <L >RB<H,<L CLC/ PC</ JFR>L/ W <L >RB</,,0,prep + prep,"pers,gens,topo",,det,subs,complex,,,hif,impf,,,<L,<L,,,,,
295793,HLK[,MT,Amos,2,7,JLKW,H C>PJM <L <PR >RY B R>C DLJM W DRK <NWJM JVW W >JC W >BJW JLKW >L H N<RH LM<N XLL >T CM QDCJ,W >JC W >BJW JLKW >L H N<RH,>JC W >BJW,>L H N<RH,>L H N<RH/,,0,prep,,,det,subs,simple,,,qal,impf,,,>L,,,,,,
2044213,HLK[,4Q82,Amos,2,7,JLKW,<L <PR >RY B R>C DLJM W DRK <NWJM JVW W >JC W >BJW JLKW >L H N<RH LM<N XLL >T CM QDCJ,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
295852,HLK[,MT,Amos,2,10,>WLK,W >NKJ H<LJTJ >TKM M >RY MYRJM W >WLK >TKM B MDBR >RB<JM CNH L RCT >T >RY H >MRJ,W >WLK >TKM B MDBR >RB<JM CNH,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
295953,NWS[,MT,Amos,2,16,JNWS,W >MJY LBW B GBWRJM <RWM JNWS B JWM H HW> N>M JHWH,W >MJY LBW B GBWRJM <RWM JNWS B JWM H HW>,>MJY LBW B GBWRJM,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
2044275,NWS[,4Q82,Amos,2,16,JNWS,W >MJY LBW B GBWRJM <RWM JNWS B JWM H HW> N>M JHWH,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
2039421,NWS[,4Q78,Amos,2,16,JNWS,W MWY> LBW B GBWRJM <RWM JNWS B JWM H HW> N>M JHWH,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
2039442,<LH[,4Q78,Amos,3,1,H<LJTJ,C DBR JHWH <LJKMH BNJ JFR>L <L KWL H MCPXH >CR H<LJTJ M >RY MYRJM L >MR,None,None,,,,,,,,,,,0,,hif,perf,,,,,,,,,
296000,HLK[,MT,Amos,3,3,JLKW,H JLKW CNJM JXDW BLTJ >M NW<DW,H JLKW CNJM JXDW,CNJM,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
296026,NPL[,MT,Amos,3,5,TPL,H TPL YPWR <L PX H >RY W MWQC >JN LH H J<LH PX MN H >DMH W LKWD L> JLKWD,H TPL YPWR <L PX H >RY,YPWR,<L PX,<L PX=/,,0,prep,,,und,subs,simple,,,qal,impf,,,<L,,,,,,
2039493,NPL[,4Q78,Amos,3,5,TPL,H TPL YPWR <L PX H >RY W MWQC >JN LH H J<LH PX MN H >DMH W LKWD LW> JLKWD,H TPL YPWR <L PX H >RY,YPWR,<L PX,,,0,,,,,,,0,,qal,impf,,,<L,,,,,,
296072,GLH[,MT,Amos,3,7,GLH,KJ L> J<FH >DNJ JHWH DBR KJ >M GLH SWDW >L <BDJW H NBJ>JM,KJ >M GLH SWDW >L <BDJW H NBJ>JM,,>L <BDJW H NBJ>JM,>L <BD/ H NBJ>/,,0,prep,,,det,subs,complex,,,qal,perf,,,>L,,,,,,
2039541,GLH[,4Q78,Amos,3,7,GLH,KJ LW> J<FH >DNJ JHWH DBR KJ >M GLH SWDW >L <BDJW H NBJ>JM,KJ >M GLH SWDW >L <BDJW H NBJ>JM,,>L <BDJW H NBJ>JM,,,0,,,,,,,0,,qal,perf,,,>L,,,,,,
296141,JRD[,MT,Amos,3,11,HWRD,LKN KH >MR >DNJ JHWH YR W SBJB H >RY W HWRD MMK <ZK W NBZW >RMNWTJK,W HWRD MMK <ZK,,no complement,no complement,,,,,,,,,,,hif,perf,,,,,,,,,
2039615,JRD[,4Q78,Amos,3,11,HWR,L KN KH >MR >DNJ JHWH YR W SBJB H >RY W HWR MMK <WZK W NBWZW >RMWNWTJK,None,None,,,,,,,,,,,0,,hif,perf,,,,,,,,,
296209,NPL[,MT,Amos,3,14,NPLW,KJ B JWM PQDJ PC<J JFR>L <LJW W PQDTJ <L MZBXWT BJT_>L W NGD<W QRNWT H MZBX W NPLW L >RY,W NPLW L >RY,,L >RY,L H >RY/,,0,prep,,,det,subs,simple,,,qal,perf,,,L,,,,,,
2039675,NPL[,4Q78,Amos,3,14,NPLW,W NPLW L >RY,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
296255,BW>[,MT,Amos,4,1,HBJ>H,CM<W H DBR H ZH PRWT H BCN >CR B HR CMRWN H <CQWT DLJM H RYYWT >BJWNJM H >MRT L >DNJHM HBJ>H W NCTH,HBJ>H,,no complement,no complement,,,,,,,,,,,hif,impv,,,,,,,,,
2039734,BW>[,4Q78,Amos,4,2,BW>JM,NCB< >DWNJ JHWH B QDCW KJ HNH JMJM BW>JM W NF> >TKMH B YNWT W >XRJTKMH B SWPWD DWGH,None,None,,,,,,,,,,,0,,qal,ptca,,,,,,,,,
296280,JY>[,MT,Amos,4,3,TY>NH,W PRYJM TY>NH >CH NGDH W HCLKTNH H HRMWNH N>M JHWH,W PRYJM TY>NH,,PRYJM,PRY/,,0,vc,,,und,subs,simple,,,qal,impf,,,,,,,,,
296289,BW>[,MT,Amos,4,4,B>W,B>W BJT_>L W PC<W H GLGL HRBW L PC< W HBJ>W L BQR ZBXJKM L CLCT JMJM M<FRTJKM,B>W BJT_>L,,BJT_>L,BJT_>L/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,impv,,,,,,,,,
296299,BW>[,MT,Amos,4,4,HBJ>W,B>W BJT_>L W PC<W H GLGL HRBW L PC< W HBJ>W L BQR ZBXJKM L CLCT JMJM M<FRTJKM,W HBJ>W L BQR ZBXJKM,,no complement,no complement,,,,,,,,,,,hif,impv,,,,,,,,,
296343,CWB[,MT,Amos,4,6,CBTM,W GM >NJ NTTJ LKM NQJWN CNJM B KL <RJKM W XSR LXM B KL MQWMTJKM W L> CBTM <DJ N>M JHWH,W L> CBTM <DJ,,<DJ,<D,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,<D,,,,,,
2044366,CWB[,4Q82,Amos,4,6,CBTM,W GM >NWKJ NTTJ LKM NQJWN CNJM B KWL <RJKM W XSR LXM B KWL MQWMTJKM W L> CBTM <DJ N>M JHWH,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
296399,CWB[,MT,Amos,4,8,CBTM,W N<W CTJM CLC <RJM >L <JR >XT L CTWT MJM W L> JFB<W W L> CBTM <DJ N>M JHWH,W L> CBTM <DJ,,<DJ,<D,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,<D,,,,,,
2044423,CWB[,4Q82,Amos,4,8,CBTM,W N<W CTJM CLC <RJM >L <JR >XT L CTWT MJM W L> JFB<W W L> CBTM <DJ N>M JHWH,W L> CBTM <DJ,,<DJ,,,0,,,,,,,0,,qal,perf,,,<D,,,,,,
296425,CWB[,MT,Amos,4,9,CBTM,HKJTJ >TKM B CDPWN W B JRQWN HRBWT GNWTJKM W KRMJKM W T>NJKM W ZJTJKM J>KL H GZM W L> CBTM <DJ N>M JHWH,W L> CBTM <DJ,,<DJ,<D,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,<D,,,,,,
2044448,CWB[,4Q82,Amos,4,9,CBTM,HKJTJ >TKM B CDPWN W B JRQWN HRBWT GNWTJKM W KRMJKM W T>NJKM W ZJTJKM J>KL H GZM W L> CBTM <DJ N>M JHWH,None,None,,,,,,,,,,,0,,qal,perf,,,,,,,,,
296444,<LH[,MT,Amos,4,10,><LH,CLXTJ BKM DBR B DRK MYRJM HRGTJ B XRB BXWRJKM <M CBJ SWSJKM W ><LH B>C MXNJKM W B >PKM W L> CBTM <DJ N>M JHWH,W ><LH B>C MXNJKM,,no complement,no complement,,,,,,,,,,,hif,wayq,,,,,,,,,
296452,CWB[,MT,Amos,4,10,CBTM,CLXTJ BKM DBR B DRK MYRJM HRGTJ B XRB BXWRJKM <M CBJ SWSJKM W ><LH B>C MXNJKM W B >PKM W L> CBTM <DJ N>M JHWH,W L> CBTM <DJ,,<DJ,<D,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,<D,,,,,,
296475,CWB[,MT,Amos,4,11,CBTM,HPKTJ BKM K MHPKT >LHJM >T SDM W >T <MRH W THJW K >WD MYL M FRPH W L> CBTM <DJ N>M JHWH,W L> CBTM <DJ,,<DJ,<D,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,<D,,,,,,
296532,NPL[,MT,Amos,5,2,NPLH,NPLH L> TWSJP QWM BTWLT JFR>L NVCH <L >DMTH >JN MQJMH,NPLH,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,
296582,BW>[,MT,Amos,5,5,TB>W,W >L TDRCW BJT_>L W H GLGL L> TB>W W B>R CB< L> T<BRW KJ H GLGL GLH JGLH W BJT_>L JHJH L >WN,W H GLGL L> TB>W,,H GLGL,H GLGL===/,,0,vc,topo,inanim,det,nmpr,simple,,,qal,impf,,,,,,,,,
296587,<BR[,MT,Amos,5,5,T<BRW,W >L TDRCW BJT_>L W H GLGL L> TB>W W B>R CB< L> T<BRW KJ H GLGL GLH JGLH W BJT_>L JHJH L >WN,W B>R CB< L> T<BRW,,B>R CB<,B>R/ CB<==/,,0,vc,topo,inanim,det,subs,complex,,,qal,impf,,,,,,,,,
296592,GLH[,MT,Amos,5,5,JGLH,W >L TDRCW BJT_>L W H GLGL L> TB>W W B>R CB< L> T<BRW KJ H GLGL GLH JGLH W BJT_>L JHJH L >WN,KJ H GLGL GLH JGLH,H GLGL,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,
296627,NWX[,MT,Amos,5,7,HNJXW,H HPKJM L L<NH MCPV W YDQH L >RY HNJXW,W YDQH L >RY HNJXW,,L >RY,L H >RY/,,0,prep,,,det,subs,simple,,,hif,perf,,,L,,,,,,
296665,BW>[,MT,Amos,5,9,JBW>,H MBLJG CD <L <Z W CD <L MBYR JBW>,W CD <L MBYR JBW>,CD,<L MBYR,<L MBYR/,,0,prep,,,und,subs,simple,,,qal,impf,,,<L,,,,,,
2044486,BW>[,4Q82,Amos,5,9,JBW>,CD <L <Z W CD <L MBYR JBW>,None,None,,,,,,,,,,,0,,qal,impf,,,,,,,,,
296799,<BR[,MT,Amos,5,17,><BR,W B KL KRMJM MSPD KJ ><BR B QRBK >MR JHWH,KJ ><BR B QRBK,,B QRBK,B QRB/,,0,prep,,,det,subs,complex,,,qal,impf,,,B,,,,,,
2044626,<BR[,4Q82,Amos,5,17,><BR,W B KL KRMJM MSPD KJ ><BR B QRBK >MR JHWH,KJ ><BR B QRBK,,B QRBK,,,0,,,,,,,0,,qal,impf,,,B,,,,,,
296833,BW>[,MT,Amos,5,19,B>,K >CR JNWS >JC M PNJ H >RJ W PG<W H DB W B> H BJT W SMK JDW <L H QJR W NCKW H NXC,W B> H BJT,,H BJT,H BJT/,,0,vc,,,det,subs,simple,,,qal,perf,,,,,,,,,
296870,<LH[,MT,Amos,5,22,T<LW,KJ >M T<LW LJ <LWT W MNXTJKM L> >RYH W CLM MRJ>JKM L> >BJV,>M T<LW LJ <LWT W MNXTJKM,,LJ,L,,0,prep,prsf,,det,prsf,simple,,,hif,impf,,,L,,,,,,
296882,SWR[,MT,Amos,5,23,HSR,HSR M <LJ HMWN CRJK W ZMRT NBLJK L> >CM<,HSR M <LJ HMWN CRJK,,M <LJ,MN <L,,0,prep + prep,,,det,,simple,,,hif,impv,,,MN,<L,,,,,
296893,GLL[,MT,Amos,5,24,JGL,W JGL K MJM MCPV W YDQH K NXL >JTN,W JGL K MJM MCPV,MCPV,no complement,no complement,,,,,,,,,,,nif,impf,,,,,,,,,
296907,NGC[,MT,Amos,5,25,HGCTM,H ZBXJM W MNXH HGCTM LJ B MDBR >RB<JM CNH BJT JFR>L,H ZBXJM W MNXH HGCTM LJ B MDBR >RB<JM CNH,,LJ,L,,0,prep,prsf,,det,prsf,simple,,,hif,perf,,,L,,,,,,
296931,GLH[,MT,Amos,5,27,HGLJTJ,W HGLJTJ >TKM M HL>H L DMFQ >MR JHWH >LHJ YB>WT CMW,W HGLJTJ >TKM M HL>H L DMFQ,,M HL>H L DMFQ,MN HL>H L DMFQ/,,0,prep + prep,topo,inanim,,nmpr,complex,,,hif,perf,,,MN,L,,,,,
