verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
412465,BW>[,MT,2_Chronicles,11,16,B>W,W >XRJHM M KL CBVJ JFR>L H NTNJM >T LBBM L BQC >T JHWH >LHJ JFR>L B>W JRWCLM L ZBWX L JHWH >LHJ >BWTJHM,W >XRJHM M KL CBVJ JFR>L B>W JRWCLM,,JRWCLM,JRWCLM/,0,vc,topo,inanim,det,nmpr,,,qal,perf,,,,,,,,,,,
412488,HLK[,MT,2_Chronicles,11,17,HLKW,W JXZQW >T MLKWT JHWDH W J>MYW >T RXB<M BN CLMH L CNJM CLWC KJ HLKW B DRK DWJD W CLMH L CNJM CLWC,KJ HLKW B DRK DWJD W CLMH L CNJM CLWC,,B DRK DWJD W CLMH,B DRK/ DWD==/ W CLMH=/,0,prep,pers pers,anim anim,det,subs nmpr nmpr,,,qal,perf,B,,,,,,,,,,
412649,<LH[,MT,2_Chronicles,12,2,<LH,W JHJ B CNH H XMJCJT L MLK RXB<M <LH CJCQ MLK MYRJM <L JRWCLM KJ M<LW B JHWH,<LH CJCQ MLK MYRJM <L JRWCLM B >LP W M>TJM RKB W B CCJM >LP PRCJM,CJCQ MLK MYRJM,<L JRWCLM,<L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,perf,<L,,,,,,,,,,
412676,BW>[,MT,2_Chronicles,12,3,B>W,B >LP W M>TJM RKB W B CCJM >LP PRCJM W >JN MSPR L <M >CR B>W <MW M MYRJM LWBJM SKJJM W KWCJM,>CR B>W <MW M MYRJM,,M MYRJM,MN MYRJM/,0,prep,topo,inanim,det,nmpr,,,qal,perf,M,,,,,,,,,,
412694,BW>[,MT,2_Chronicles,12,4,JB>,W JLKD >T <RJ H MYRWT >CR L JHWDH W JB> <D JRWCLM,W JB> <D JRWCLM,,<D JRWCLM,<D JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,wayq,<D,,,,,,,,,,
412701,BW>[,MT,2_Chronicles,12,5,B>,W CM<JH H NBJ> B> >L RXB<M W FRJ JHWDH >CR N>SPW >L JRWCLM M PNJ CJCQ W J>MR LHM KH >MR JHWH >TM <ZBTM >TJ W >P >NJ <ZBTJ >TKM B JD CJCQ,W CM<JH H NBJ> B> >L RXB<M W FRJ JHWDH,CM<JH H NBJ>,>L RXB<M W FRJ JHWDH,>L RXB<M/ W FR/ JHWDH/,0,prep,"pers pers,gens,topo",anim,det,nmpr subs nmpr,,,qal,perf,>L,,,,,,,,,,
412767,NTK[,MT,2_Chronicles,12,7,TTK,W B R>WT JHWH KJ NKN<W HJH DBR JHWH >L CM<JH L >MR NKN<W L> >CXJTM W NTTJ LHM K M<V L PLJVH W L> TTK XMTJ B JRWCLM B JD CJCQ,W L> TTK XMTJ B JRWCLM B JD CJCQ,XMTJ,B JRWCLM,B JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,impf,B,,,,,,,,,,
412788,<LH[,MT,2_Chronicles,12,9,J<L,W J<L CJCQ MLK MYRJM <L JRWCLM W JQX >T >YRWT BJT JHWH W >T >YRWT BJT H MLK >T H KL LQX W JQX >T MGNJ H ZHB >CR <FH CLMH,W J<L CJCQ MLK MYRJM <L JRWCLM,CJCQ MLK MYRJM,<L JRWCLM,<L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,wayq,<L,,,,,,,,,,
412833,RWY[,MT,2_Chronicles,12,10,RYJM,W J<F H MLK RXB<M TXTJHM MGNJ NXCT W HPQJD <L JD FRJ H RYJM H CMRJM PTX BJT H MLK,W HPQJD <L JD FRJ H RYJM,,<L JD FRJ H RYJM,<L JD/ FR/ H RWY[,0,prep,,,det,subs subs,,,qal,ptca,<L,,,,,,,,,,
412844,BW>[,MT,2_Chronicles,12,11,BW>,W JHJ M DJ BW> H MLK BJT JHWH B>W H RYJM W NF>WM W HCBWM >L T> H RYJM,M DJ BW> H MLK BJT JHWH,H MLK,BJT JHWH,BJT/ JHWH/,0,vc,pers,anim,det,subs nmpr,,,qal,infc,,,,,,,,,,,
