verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
308587,BW>[,MT,Zechariah,12,9,B>JM,W HJH B JWM H HW> >BQC L HCMJD >T KL H GWJM H B>JM <L JRWCLM,H B>JM <L JRWCLM,,<L JRWCLM,<L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,ptca,<L,,,,,,,,,,
2041343,BW>[,4Q80,Zechariah,12,9,B>JM,W HJ> B JWM H HW> >BQC L HCMJD >T KL H GWJM H B>JM <L JRWCLM,None,None,,,,,,,,,0,0 000 0 000 0 000 0000 0 00000 00 00 0 0000 0 0000 00 000000,qal,ptca,,,,,,,,,,,
308750,<BR[,MT,Zechariah,13,2,><BJR,W HJH B JWM H HW> N>M JHWH YB>WT >KRJT >T CMWT H <YBJM MN H >RY W L> JZKRW <WD W GM >T H NBJ>JM W >T RWX H VM>H ><BJR MN H >RY,W GM >T H NBJ>JM W >T RWX H VM>H ><BJR MN H >RY,,MN H >RY,MN H >RY/,0,prep,,,det,subs,,,hif,impf,MN,,,,,,,,,,
308855,CWB[,MT,Zechariah,13,7,HCBTJ,XRB <WRJ <L R<J W <L GBR <MJTJ N>M JHWH YB>WT HK >T H R<H W TPWYJN H Y>N W HCBTJ JDJ <L H Y<RJM,W HCBTJ JDJ <L H Y<RJM,,<L H Y<RJM,<L H Y<R[,0,prep,,,det,,,,hif,perf,<L,,,,,,,,,,
308879,BW>[,MT,Zechariah,13,9,HB>TJ,W HB>TJ >T H CLCJT B >C W YRPTJM K YRP >T H KSP W BXNTJM K BXN >T H ZHB HW> JQR> B CMJ W >NJ ><NH >TW >MRTJ <MJ HW> W HW> J>MR JHWH >LHJ,W HB>TJ >T H CLCJT B >C,,B >C,B H >C/,0,prep,,,det,subs,,,hif,perf,B,,,,,,,,,,
308918,BW>[,MT,Zechariah,14,1,B>,HNH JWM B> L JHWH W XLQ CLLK B QRBK,HNH JWM B> L JHWH,JWM,no complement,no complement,,,,,,,,,qal,ptca,,,,,,,,,,,
308950,JY>[,MT,Zechariah,14,2,JY>,W >SPTJ >T KL H GWJM >L JRWCLM L MLXMH W NLKDH H <JR W NCSW H BTJM W H NCJM TCGLNH W JY> XYJ H <JR B GWLH W JTR H <M L> JKRT MN H <JR,W JY> XYJ H <JR B GWLH,XYJ H <JR,B GWLH,B H GWLH/,0,prep,,,det,subs,,,qal,perf,B,,,,,,,,,,
308967,JY>[,MT,Zechariah,14,3,JY>,W JY> JHWH W NLXM B GWJM H HM K JWM HLXMW B JWM QRB,W JY> JHWH,JHWH,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
309014,MWC[,MT,Zechariah,14,4,MC,W <MDW RGLJW B JWM H HW> <L HR H ZTJM >CR <L PNJ JRWCLM M QDM W NBQ< HR H ZJTJM M XYJW MZRXH W JMH GJ> GDWLH M>D W MC XYJ H HR YPWNH W XYJW NGBH,W MC XYJ H HR YPWNH,XYJ H HR,YPWNH,YPWN/,1,dir_he,,,det,subs,,,qal,perf,,,,,,,,,,,
309023,NWS[,MT,Zechariah,14,5,NSTM,W NSTM GJ> HRJ KJ JGJ< GJ HRJM >L >YL W NSTM K >CR NSTM M PNJ H R<C B JMJ <ZJH MLK JHWDH W B> JHWH >LHJ KL QDCJM <MK,W NSTM GJ> HRJ,,GJ> HRJ,GJ>/ HR/,0,vc,,,det,subs subs,,,qal,perf,,,,,,,,,,,
309033,NWS[,MT,Zechariah,14,5,NSTM,W NSTM GJ> HRJ KJ JGJ< GJ HRJM >L >YL W NSTM K >CR NSTM M PNJ H R<C B JMJ <ZJH MLK JHWDH W B> JHWH >LHJ KL QDCJM <MK,W NSTM,,no complement,no complement,,,,,,,,,qal,perf,,,,,,,,,,,
309036,NWS[,MT,Zechariah,14,5,NSTM,W NSTM GJ> HRJ KJ JGJ< GJ HRJM >L >YL W NSTM K >CR NSTM M PNJ H R<C B JMJ <ZJH MLK JHWDH W B> JHWH >LHJ KL QDCJM <MK,K >CR NSTM M PNJ H R<C B JMJ <ZJH MLK JHWDH,,M PNJ H R<C,MN PNH/ H R<C/,0,prep,,,det,subs subs,,,qal,perf,M,,,,,,,,,,
