verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
358336,BW>[,MT,Song_of_songs,4,8,TBW>J,>TJ M LBNWN KLH >TJ M LBNWN TBW>J TCWRJ M R>C >MNH M R>C FNJR W XRMWN M M<NWT >RJWT M HRRJ NMRJM,>TJ M LBNWN TBW>J,,>TJ,>T==,0,prep,,,det,,,,qal,impf,>TJ,,,,,,,,,,
358336,BW>[,MT,Song_of_songs,4,8,TBW>J,>TJ M LBNWN KLH >TJ M LBNWN TBW>J TCWRJ M R>C >MNH M R>C FNJR W XRMWN M M<NWT >RJWT M HRRJ NMRJM,>TJ M LBNWN TBW>J,,M LBNWN,MN LBNWN/,0,prep,topo,inanim,det,nmpr,,,qal,impf,M,,,,,,,,,,
358337,CWR=[,MT,Song_of_songs,4,8,TCWRJ,>TJ M LBNWN KLH >TJ M LBNWN TBW>J TCWRJ M R>C >MNH M R>C FNJR W XRMWN M M<NWT >RJWT M HRRJ NMRJM,TCWRJ M R>C >MNH M R>C FNJR W XRMWN,,M R>C >MNH M R>C FNJR W XRMWN,MN R>C/ >MNH===/ MN R>C/ FNJR/ W XRMWN/,0,prep + prep,topo topo topo,inanim inanim inanim,det,subs nmpr subs nmpr nmpr,,,qal,impf,M,M,,,,,,,,,
2056736,BW>[,4Q107,Song_of_songs,4,8,>B>J,>T MN LBNWN KLH >T MN LBNWN >B>J TCWRJ MN R>CJ >WMNWN M M<NWT >RJWT MN HRRJ NMRJM,None,None,,,,,,,,,0,00 00 00000 000 00 00 00000 0000 00000 00 0000 000000 0 00000 00000 00 0000 00000,qal,impv,,,,,,,,,,,
2056737,CWR=[,4Q107,Song_of_songs,4,8,TCWRJ,>T MN LBNWN KLH >T MN LBNWN >B>J TCWRJ MN R>CJ >WMNWN M M<NWT >RJWT MN HRRJ NMRJM,None,None,,,,,,,,,0,00 00 00000 000 00 00 00000 0000 00000 00 0000 000000 0 00000 00000 00 0000 00000,qal,impf,,,,,,,,,,,
358382,NVP[,MT,Song_of_songs,4,11,TVPNH,NPT TVPNH FPTWTJK KLH DBC W XLB TXT LCWNK W RJX FLMTJK K RJX LBNWN,NPT TVPNH FPTWTJK,FPTWTJK,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
2056780,NVP[,4Q107,Song_of_songs,4,11,TVPNH,NPT TVPNH FPTWTJK >XWTJ KLH DBC W XLB,None,None,,,,,,,,,0,000 00000 0000000 00000 000 000 0 000,qal,impf,,,,,,,,,,,
358442,BW>[,MT,Song_of_songs,4,16,BW>J,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL PRJ MGDJW,W BW>J,,no complement,no complement,,,,,,,,,qal,impv,,,,,,,,,,,
358448,BW>[,MT,Song_of_songs,4,16,JB>,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL PRJ MGDJW,JB> DWDJ L GNW,DWDJ,L GNW,L GN/,0,prep,,,det,subs,,,qal,impf,L,,,,,,,,,,
2056818,BW>[,4Q107,Song_of_songs,4,16,BW>J,<WRJ YPWN W BW>J TJMN HPJXJ GNJ JZLW BFMJW JB> DWDJ L GNW W J>KL MN GDJW,None,None,,,,,,,,,0,0000 0000 0 0000 0000 00000 000 0000 00000 000 0000 0 000 0 0000 00 0000,qal,impv,,,,,,,,,,,
