verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,cmpl_translation,cmpl_complex,motion_type,comments
390665,BW>[,MT,Nehemiah,13,6,B>TJ,W B KL ZH L> HJJTJ B JRWCLM KJ B CNT CLCJM W CTJM L >RTXCST> MLK BBL B>TJ >L H MLK W L QY JMJM NC>LTJ MN H MLK,KJ B CNT CLCJM W CTJM L >RTXCST> MLK BBL B>TJ >L H MLK,,>L H MLK,>L H MLK/,0,prep,,,det,subs,,,qal,perf,>L,,,,,,,,,,
390678,BW>[,MT,Nehemiah,13,7,>BW>,W >BW> L JRWCLM W >BJNH B R<H >CR <FH >LJCJB L VWBJH L <FWT LW NCKH B XYRJ BJT H >LHJM,W >BW> L JRWCLM,,L JRWCLM,L JRWCLM/,0,prep,topo,inanim,det,nmpr,,,qal,wayq,L,,,,,,,,,,
390723,CWB[,MT,Nehemiah,13,9,>CJBH,W >MRH W JVHRW H LCKWT W >CJBH CM KLJ BJT H >LHJM >T H MNXH W H LBWNH,W >CJBH CM KLJ BJT H >LHJM >T H MNXH W H LBWNH,,CM,CM,0,vc,,,det,,,,hif,wayq,,,,,,,,,,,
390744,BRX[,MT,Nehemiah,13,10,JBRXW,W >D<H KJ MNJWT H LWJM L> NTNH W JBRXW >JC L FDHW H LWJM W H MCRRJM <FJ H ML>KH,W JBRXW H LWJM W H MCRRJM,H LWJM W H MCRRJM,no complement,no complement,,,,,,,,,qal,wayq,,,,,,,,,,,
390777,BW>[,MT,Nehemiah,13,12,HBJ>W,W KL JHWDH HBJ>W M<FR H DGN W H TJRWC W H JYHR L >WYRWT,W KL JHWDH HBJ>W M<FR H DGN W H TJRWC W H JYHR L >WYRWT,KL JHWDH,L >WYRWT,L H >WYR/,0,prep,,,det,subs,,,hif,perf,L,,,,,,,,,,
390854,BW>[,MT,Nehemiah,13,15,MBJ>JM,B JMJM H HMH R>JTJ B JHWDH DRKJM GTWT B CBT W MBJ>JM H <RMWT W <MSJM <L H XMRJM W >P JJN <NBJM W T>NJM W KL MF> W MBJ>JM JRWCLM B JWM H CBT W ><JD B JWM MKRM YJD,W MBJ>JM H <RMWT,,no complement,no complement,,,,,,,,,hif,ptca,,,,,,,,,,,
390872,BW>[,MT,Nehemiah,13,15,MBJ>JM,B JMJM H HMH R>JTJ B JHWDH DRKJM GTWT B CBT W MBJ>JM H <RMWT W <MSJM <L H XMRJM W >P JJN <NBJM W T>NJM W KL MF> W MBJ>JM JRWCLM B JWM H CBT W ><JD B JWM MKRM YJD,W MBJ>JM JRWCLM B JWM H CBT,,JRWCLM,JRWCLM/,0,vc,topo,inanim,det,nmpr,,,hif,ptca,,,,,,,,,,,
390889,BW>[,MT,Nehemiah,13,16,MBJ>JM,W H YRJM JCBW BH MBJ>JM D>G W KL MKR W MKRJM B CBT L BNJ JHWDH W B JRWCLM,MBJ>JM D>G W KL MKR,,no complement,no complement,,,,,,,,,hif,ptca,,,,,,,,,,,
390935,BW>[,MT,Nehemiah,13,18,JB>,H LW> KH <FW >BTJKM W JB> >LHJNW <LJNW >T KL H R<H H Z>T W <L H <JR H Z>T W >TM MWSJPJM XRWN <L JFR>L L XLL >T H CBT,W JB> >LHJNW <LJNW >T KL H R<H H Z>T W <L H <JR H Z>T,>LHJNW,<LJNW W <L H <JR H Z>T,<L W <L H <JR/ H Z>T,0,prep + prep,,,det,subs,,,hif,wayq,<LJNW,<L,,,,,,,,,
390995,BW>[,MT,Nehemiah,13,19,JBW>,W JHJ K >CR YLLW C<RJ JRWCLM L PNJ H CBT W >MRH W JSGRW H DLTWT W >MRH >CR L> JPTXWM <D >XR H CBT W M N<RJ H<MDTJ <L H C<RJM L> JBW> MF> B JWM H CBT,L> JBW> MF> B JWM H CBT,MF>,no complement,no complement,,,,,,,,,qal,impf,,,,,,,,,,,
