verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
315596,HLK[,MT,Psalms,34,1,JLK,L DWD B CNWTW >T V<MW L PNJ >BJMLK W JGRCHW W JLK,,qal,wayq,W JLK,,no complement,no complement,,,,,,,,,,,,,,,,,,
315669,XSH[,MT,Psalms,34,9,JXSH,V<MW W R>W KJ VWB JHWH >CRJ H GBR JXSH BW,,qal,impf,JXSH BW,,BW,B,,0,prep,,,det,,simple,,,B,,,,,,,
315691,HLK[,MT,Psalms,34,12,LKW,LKW BNJM CM<W LJ JR>T JHWH >LMDKM,,qal,impv,LKW,,no complement,no complement,,,,,,,,,,,,,,,,,,
315797,XSH[,MT,Psalms,34,23,XSJM,PWDH JHWH NPC <BDJW W L> J>CMW KL H XSJM BW,,qal,ptca,H XSJM BW,,BW,B,,0,prep,,,det,,simple,,,B,,,,,,,
315869,BW>[,MT,Psalms,35,8,TBW>HW,TBW>HW CW>H L> JD< W RCTW >CR VMN TLKDW B CW>H JPL BH,,qal,impf,TBW>HW CW>H,CW>H,no complement,no complement,,,,,,,,,,,,,,,,,,
315880,NPL[,MT,Psalms,35,8,JPL,TBW>HW CW>H L> JD< W RCTW >CR VMN TLKDW B CW>H JPL BH,,qal,impf,JPL BH,,BH,B,,0,prep,,,det,,simple,,,B,,,,,,,
2053839,BW>[,4Q98,Psalms,35,8,TBW>HW,TBW>HW CW>H LW> JD< W RCTW >CR VMN TLKDHW CW>H JPL BH,111111 1111 111 111 1 1111 111 111 000000 0111 111 11,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[TBW>HW CW>H LW> JD< W RCTW >CR VMN] TLKDHW C[W>H JPL BH]
2053849,NPL[,4Q98,Psalms,35,8,JPL,TBW>HW CW>H LW> JD< W RCTW >CR VMN TLKDHW CW>H JPL BH,111111 1111 111 111 1 1111 111 111 000000 0111 111 11,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[TBW>HW CW>H LW> JD< W RCTW >CR VMN] TLKDHW C[W>H JPL BH]
315936,CWB[,MT,Psalms,35,13,TCWB,W >NJ B XLWTM LBWCJ FQ <NJTJ B YWM NPCJ W TPLTJ <L XJQJ TCWB,,qal,impf,W TPLTJ <L XJQJ TCWB,TPLTJ,<L XJQJ,<L XJQ/,,0,prep,,,det,subs,simple,,,<L,,,,,,,
2053909,CWB[,4Q98,Psalms,35,13,TCWB,W >NJ B XLWTM LBWCJ FQ <NJTJ B YWM NPCJ W TPLTJ <L XJQJ TCWB,1 111 1 11111 11111 11 11111 1 111 1111 1 11111 11 1111 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[W >NJ B XLWTM LBWCJ FQ <NJTJ B YWM NPCJ W TPLTJ <L XJQJ TCWB]
2047288,CWB[,4Q83,Psalms,35,13,TCWB,B XLWTM LBWCJ FQ <NJTJ B YWM NPCJ W TPLTJ <L XJQJ TCWB,1 11111 11111 11 11111 1 000 0111 1 11111 11 1111 1111,qal,impf,None,None,,,,,,,,,,,,,,,,,,,,[B XLWTM LBWCJ FQ <NJTJ B] YWM N[PCJ W TPLTJ <L XJQJ TCWB]
315942,HLK[,MT,Psalms,35,14,HTHLKTJ,K R< K >X LJ HTHLKTJ K >BL >M QDR CXWTJ,,hit,perf,K R< K >X LJ HTHLKTJ,,no complement,no complement,,,,,,,,,,,,,,,,,,
2053952,CWB[,4Q98,Psalms,35,17,HCJBH,>DNJ K MH TR>H HCJBH NPCJ M C>JHM M KPJRJM JXJDTJ,1111 1 11 0000 00000 0011 1 11111 1 111111 111111,hif,impv,HCJBH NPCJ M C>JHM,,M C>JHM,,,0,,,,,,,,,M,,,,,,,[>DNJ K MH] TR>H HCJBH NP[CJ M C>JHM M KPJRJM JXJDTJ]
2047329,CWB[,4Q83,Psalms,35,17,HCJBH,>DWNJ K MH TR>H HCJBH NPCJ M C>JHM M KPJRJM JXJDTJ,00000 0 00 1111 11111 1111 1 11111 1 111111 111111,hif,impv,HCJBH NPCJ M C>JHM,,M C>JHM,,,0,,,,,,,,,M,,,,,,,>DWNJ K MH [TR>H HCJBH NPCJ M C>JHM M KPJRJM JXJDTJ]
316174,XSH[,MT,Psalms,36,8,JXSJWN,MH JQR XSDK >LHJM W BNJ >DM B YL KNPJK JXSJWN,,qal,impf,W BNJ >DM B YL KNPJK JXSJWN,BNJ >DM,B YL KNPJK,B YL/ KNP/,,0,prep,,,det,subs,complex,,,B,,,,,,,
2047492,XSH[,4Q83,Psalms,36,8,JXSJWN,MH JQR XSDK >LHJM W BNJ >DM B YL KNPJK JXSJWN,11 111 1111 11111 1 111 111 1 11 11111 111111,qal,impf,W BNJ >DM B YL KNPJK JXSJWN,BNJ >DM,B YL KNPJK,,,0,,,,,,,,,B,,,,,,,[MH JQR XSDK >LHJM W BNJ >DM B YL KNPJK JXSJWN]
316201,BW>[,MT,Psalms,36,12,TBW>NJ,>L TBW>NJ RGL G>WH W JD RC<JM >L TNDNJ,,qal,impf,>L TBW>NJ RGL G>WH,RGL G>WH,no complement,no complement,,,,,,,,,,,,,,,,,,
