verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
362074,BW>[,MT,Ecclesiastes,8,10,B>W,W B KN R>JTJ RC<JM QBRJM W B>W W M MQWM QDWC JHLKW W JCTKXW B <JR >CR KN <FW GM ZH HBL,W B>W,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
362488,HLK[,MT,Ecclesiastes,9,7,LK,LK >KL B FMXH LXMK W CTH B LB VWB JJNK KJ KBR RYH H >LHJM >T M<FJK,LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,,,
362576,CWB[,MT,Ecclesiastes,9,11,CBTJ,CBTJ W R>H TXT H CMC KJ L> L QLJM H MRWY W L> L GBWRJM H MLXMH W GM L> L XKMJM LXM W GM L> L NBNJM <CR W GM L> L JD<JM XN KJ <T W PG< JQRH >T KLM,CBTJ,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
362659,NPL[,MT,Ecclesiastes,9,12,TPWL,KJ GM L> JD< H >DM >T <TW K DGJM C N>XZJM B MYWDH R<H W K YPRJM H >XZWT B PX KHM JWQCJM BNJ H >DM L <T R<H K C TPWL <LJHM PT>M,K C TPWL <LJHM PT>M,,<LJHM,<L,,0.0,prep,prsf,,det,prsf,simple,,,qal,impf,,,<L,,,,,,,,
362680,BW>[,MT,Ecclesiastes,9,14,B>,<JR QVNH W >NCJM BH M<V W B> >LJH MLK GDWL W SBB >TH W BNH <LJH MYWDJM GDLJM,W B> >LJH MLK GDWL,MLK GDWL,>LJH,>L,,0.0,prep,prsf,,det,prsf,simple,,,qal,perf,,,>L,,,,,,,,
362685,SBB[,MT,Ecclesiastes,9,14,SBB,<JR QVNH W >NCJM BH M<V W B> >LJH MLK GDWL W SBB >TH W BNH <LJH MYWDJM GDLJM,W SBB >TH,,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
362799,<LH[,MT,Ecclesiastes,10,4,T<LH,>M RWX H MWCL T<LH <LJK MQWMK >L TNX KJ MRP> JNJX XV>JM GDWLJM,>M RWX H MWCL T<LH <LJK,RWX H MWCL,<LJK,<L,,0.0,prep,prsf,,det,prsf,simple,,,qal,impf,,,<L,,,,,,,,
362803,NWX[,MT,Ecclesiastes,10,4,TNX,>M RWX H MWCL T<LH <LJK MQWMK >L TNX KJ MRP> JNJX XV>JM GDWLJM,MQWMK >L TNX,,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
362806,NWX[,MT,Ecclesiastes,10,4,JNJX,>M RWX H MWCL T<LH <LJK MQWMK >L TNX KJ MRP> JNJX XV>JM GDWLJM,KJ MRP> JNJX XV>JM GDWLJM,MRP>,no complement,no complement,,,,,,,,,,,hif,impf,,,,,,,,,,,
362852,NPL[,MT,Ecclesiastes,10,8,JPWL,XPR GWMY BW JPWL W PRY GDR JCKNW NXC,BW JPWL,,BW,B,,0.0,prep,prsf,,det,prsf,simple,,,qal,impf,,,B,,,,,,,,
