verb_id,book,chapter,verse_num,clause,cl_type,prec_cl,pr_cl_type,next_cl,n_cl_type
223962,Isaiah,36,10,הֲמִבַּלְעֲדֵ֣י יְהוָ֔ה עָלִ֛יתִי עַל־הָאָ֥רֶץ הַזֹּ֖את ,xQt0,וְעַתָּה֙ ,MSyn,לְהַשְׁחִיתָ֑הּ ,InfC
223973,Isaiah,36,10,עֲלֵ֛ה אֶל־הָאָ֥רֶץ הַזֹּ֖את ,ZIm0,יְהוָה֙ אָמַ֣ר אֵלַ֔י ,XQtl,וְהַשְׁחִיתָֽהּ׃ ,WIm0
224019,Isaiah,36,12,הַאֶ֨ל אֲדֹנֶ֤יךָ וְאֵלֶ֨יךָ֙ שְׁלָחַ֣נִי אֲדֹנִ֔י ,xQtX,וַיֹּ֣אמֶר רַב־שָׁקֵ֗ה ,WayX,לְדַבֵּ֖ר אֶת־הַדְּבָרִ֣ים הָאֵ֑לֶּה ,InfC
224119,Isaiah,36,16,וּצְא֣וּ אֵלַ֔י ,WIm0,עֲשֽׂוּ־אִתִּ֤י בְרָכָה֙ ,ZIm0,וְאִכְל֤וּ אִישׁ־גַּפְנֹו֙ ,WIm0
224134,Isaiah,36,17,עַד־בֹּאִ֕י ,InfC,,,וְלָקַחְתִּ֥י אֶתְכֶ֖ם אֶל־אֶ֣רֶץ כְּאַרְצְכֶ֑ם אֶ֤רֶץ דָּגָן֙ וְתִירֹ֔ושׁ אֶ֥רֶץ לֶ֖חֶם וּכְרָמִֽים׃ ,WQt0
224136,Isaiah,36,17,וְלָקַחְתִּ֥י אֶתְכֶ֖ם אֶל־אֶ֣רֶץ כְּאַרְצְכֶ֑ם אֶ֤רֶץ דָּגָן֙ וְתִירֹ֔ושׁ אֶ֥רֶץ לֶ֖חֶם וּכְרָמִֽים׃ ,WQt0,עַד־בֹּאִ֕י ,InfC,,
224223,Isaiah,36,22,וַיָּבֹ֣א אֶלְיָקִ֣ים בֶּן־חִלְקִיָּ֣הוּ וְשֶׁבְנָ֨א הַסֹּופֵ֜ר וְיֹואָ֨ח בֶּן־אָסָ֧ף הַמַּזְכִּ֛יר אֶל־חִזְקִיָּ֖הוּ קְרוּעֵ֣י בְגָדִ֑ים ,WayX,,,אֲשֶׁר־עַל־הַ֠בַּיִת ,NmCl
224268,Isaiah,37,1,וַיָּבֹ֖א בֵּ֥ית יְהוָֽה׃ ,Way0,וַיִּתְכַּ֣ס בַּשָּׂ֔ק ,Way0,,
224272,Isaiah,37,2,וַ֠יִּשְׁלַח אֶת־אֶלְיָקִ֨ים וְאֵ֣ת׀ שֶׁבְנָ֣א הַסֹּופֵ֗ר וְאֵת֙ זִקְנֵ֣י הַכֹּהֲנִ֔ים אֶל־יְשַֽׁעְיָ֥הוּ בֶן־אָמֹ֖וץ הַנָּבִֽיא׃ ,Way0,,,אֲשֶׁר־עַל־הַבַּ֜יִת ,NmCl
224316,Isaiah,37,3,כִּ֣י בָ֤אוּ בָנִים֙ עַד־מַשְׁבֵּ֔ר ,xQtX,יֹום־צָרָ֧ה וְתֹוכֵחָ֛ה וּנְאָצָ֖ה הַיֹּ֣ום הַזֶּ֑ה ,NmCl,וְכֹ֥חַ אַ֖יִן לְלֵדָֽה׃ ,NmCl
224333,Isaiah,37,4,אֲשֶׁר֩ שְׁלָחֹ֨ו מֶֽלֶךְ־אַשּׁ֤וּר׀ אֲדֹנָיו֙ ,xQtX,אוּלַ֡י יִשְׁמַע֩ יְהוָ֨ה אֱלֹהֶ֜יךָ אֵ֣ת׀ דִּבְרֵ֣י רַב־שָׁקֵ֗ה ,xYqX,לְחָרֵף֙ אֱלֹהִ֣ים חַ֔י ,InfC
224359,Isaiah,37,5,וַיָּבֹ֗אוּ עַבְדֵ֛י הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ אֶל־יְשַׁעְיָֽהוּ׃ ,WayX,,,,
224399,Isaiah,37,7,וְשָׁ֣ב אֶל־אַרְצֹ֑ו ,WQt0,וְשָׁמַ֥ע שְׁמוּעָ֖ה ,WQt0,וְהִפַּלְתִּ֥יו בַּחֶ֖רֶב בְּאַרְצֹֽו׃ ,WQt0
224403,Isaiah,37,7,וְהִפַּלְתִּ֥יו בַּחֶ֖רֶב בְּאַרְצֹֽו׃ ,WQt0,וְשָׁ֣ב אֶל־אַרְצֹ֑ו ,WQt0,,
224410,Isaiah,37,8,וַיָּ֨שָׁב֙ רַב־שָׁקֵ֔ה ,WayX,,,וַיִּמְצָא֙ אֶת־מֶ֣לֶךְ אַשּׁ֔וּר ,Way0
224434,Isaiah,37,9,יָצָ֖א ,ZQt0,לֵאמֹ֔ר ,InfC,לְהִלָּחֵ֣ם אִתָּ֑ךְ ,InfC
224441,Isaiah,37,9,וַיִּשְׁלַ֣ח מַלְאָכִ֔ים אֶל־חִזְקִיָּ֖הוּ ,Way0,וַיִּשְׁמַע֙ ,Way0,לֵאמֹֽר׃ ,InfC
224525,Isaiah,37,14,וַיִּקַּ֨ח חִזְקִיָּ֧הוּ אֶת־הַסְּפָרִ֛ים מִיַּ֥ד הַמַּלְאָכִ֖ים ,WayX,,,וַיִּקְרָאֵ֑הוּ ,Way0
