verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4
19287,CWB,1QS,1QS,4,13,JCJB,KJ> JRXQ MMN W B KWL DBR KJ> KN KTWB M KWL DBR CQR TRXQ W >CR LW> JCJB >JC M >NCJ H JXD <L PJ HM L KWL TWRH W MCPV,W >CR LW> JCJB >JC M >NCJ H JXD <L PJ HM L KWL TWRH W MCPV,>JC M >NCJ H JXD,L KWL TWRH W MCPV,0,,,hif,impf,L,,,
19405,BW>,1QS,1QS,4,18,JBW>,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,W KJ> JBW> B BRJT,,B BRJT,0,,,qal,impf,B,,,
19478,CWB,1QS,1QS,4,18,CWB,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,L CWB B JXD L BRJT W,,B JXD,0,,,qal,infc,B,,,
19478,CWB,1QS,1QS,4,18,CWB,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,L CWB B JXD L BRJT W,,L BRJT W,0,,,qal,infc,L,,,
18936,JY>,1QS,1QS,4,2,JY>,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV,TKWN H GWRL,L KWL DBR L TWRH W L HWN W L MCPV,0,,,qal,impf,L,L,L,L
18968,HLK,1QS,1QS,4,2,LKT,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,W HYN< LKT B KWL DRKJ HM,,B KWL DRKJ HM,0,,,qal,infc,B,,,
18975,HLK,1QS,1QS,4,2,JLK,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,>CR LW> JLK >JC B CRJRWT LB W,>JC,B CRJRWT LB W,0,,,qal,impf,B,,,
18982,T<H,1QS,1QS,4,2,T<WT,<L PJ HM JY> TKWN H GWRL L KWL DBR L TWRH W L HWN W L MCPV L <FWT >MT JXD W <NWH YDQH W MCPV W >HBT XSD W HYN< LKT B KWL DRKJ HM >CR LW> JLK >JC B CRJRWT LB W L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,L T<WT >XR LBB W W <JNJ HW W MXCBT JYR W,,>XR LBB W W <JNJ HW W MXCBT JYR W,0,,,qal,infc,,,,
19602,BW>,1QS,1QS,4,25,JBJ>,W GM >L JBJ> >JC <L R< HW DBR L PNJ H RBJM >CR LW> B TWKXT L PNJ <DJM,W GM >L JBJ> >JC <L R< HW DBR L PNJ H RBJM,>JC,<L R< HW,0,,,hif,impf,<L,,,
19609,PNH,1QS,1QS,4,25,PNJ,W GM >L JBJ> >JC <L R< HW DBR L PNJ H RBJM >CR LW> B TWKXT L PNJ <DJM,W GM >L JBJ> >JC <L R< HW DBR L PNJ H RBJM,>JC,<L R< HW,0,,,NA,NA,<L,,,
