verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
1899689,NPL[,1Qisaa,Isaiah,13,15,JPWL,יפול ,KWL H NMY> JDQR W KWL H NSPH JPWL B XRB,qal,impf,,,[],
216516,BW>[,MT,Isaiah,13,2,JB>W,יָבֹ֖אוּ ,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD W JB>W PTXJ NDJBJM,qal,impf,,,PTXJ NDJBJM,פִּתְחֵ֥י נְדִיבִֽים׃ 
1899480,BW>[,1Qisaa,Isaiah,13,2,JBW>,יבוא ,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD JBW> PTXJ NDJBJM,qal,impf,,,[],
216823,BW>[,MT,Isaiah,13,22,BW>,בֹוא֙ ,W <NH >JJM B >LMNWTJW W TNJM B HJKLJ <NG W QRWB L BW> <TH W JMJH L> JMCKW,qal,infc,,,[],
1899806,BW>[,1Qisaa,Isaiah,13,22,BW>,בוא ,W <NH >JM B >LMNWTW W TNJM B HJKLW <NWGW QRWB L BW> <TH W JMJH LW> JMCKW <WD,qal,infc,,,[],
216548,BW>[,MT,Isaiah,13,5,B>JM,בָּאִ֛ים ,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW L XBL KL H >RY,qal,ptca,JHWH W KLJ Z<MW,יְהוָה֙ וּכְלֵ֣י זַעְמֹ֔ו ,M >RY MRXQ M QYH H CMJM,מֵאֶ֥רֶץ מֶרְחָ֖ק מִקְצֵ֣ה הַשָּׁמָ֑יִם 
1899514,BW>[,1Qisaa,Isaiah,13,5,B>JM,באים ,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW L XBL KL H >RY,qal,ptca,,,[],
216574,BW>[,MT,Isaiah,13,6,JBW>,יָבֹֽוא׃ ,HJLJLW KJ QRWB JWM JHWH K CD M CDJ JBW>,qal,impf,,,[],
1899541,BW>[,1Qisaa,Isaiah,13,6,JBW>,יבוא ,HJLJLW KJ QRWB JWM JHWH K CD M CDJ JBW>,qal,impf,,,[],
216605,BW>[,MT,Isaiah,13,9,B>,בָּ֔א ,HNH JWM JHWH B> >KZRJ W <BRH W XRWN >P L FWM H >RY L CMH W XV>JH JCMJD MMNH,qal,perf,JWM JHWH,יֹום־יְהוָה֙ ,[],
1899575,BW>[,1Qisaa,Isaiah,13,9,B>,בא ,HNH JWM JHWH B> >GZRJ W <BRH W XRWN >P L FWM >RY L CMH W XV>JM JCMJD MMNH,qal,ptca,,,[],
216840,NWX[,MT,Isaiah,14,1,HNJXM,הִנִּיחָ֖ם ,KJ JRXM JHWH >T J<QB W BXR <WD B JFR>L W HNJXM <L >DMTM W NLWH H GR <LJHM W NSPXW <L BJT J<QB,hif,perf,,,<L >DMTM,עַל־אַדְמָתָ֑ם 
1899825,NWX[,1Qisaa,Isaiah,14,1,HNJXM,הניח׳ם ,KJ JRXM JHWH >T J<QWB W BXR <WD B JFR>L W HNJXM <L >DMTM W NLW> H GR <LJHM W NSPXW <L BJT J<QWB,hifil,perf,,,[],
216991,JRD[,MT,Isaiah,14,11,HWRD,הוּרַ֥ד ,HWRD C>WL G>WNK HMJT NBLJK TXTJK JY< RMH W MKSJK TWL<H,hof,perf,G>WNK HMJT NBLJK,גְאֹונֶ֖ךָ הֶמְיַ֣ת נְבָלֶ֑יךָ ,C>WL,שְׁאֹ֛ול 
1899992,JRD[,1Qisaa,Isaiah,14,11,HWRD,הורד ,HWRD C>WL G>WNK H MWT NBLTK TXTJK JY< RMH W MKSK TWL<H,hofal,perf,,,[],
217003,NPL[,MT,Isaiah,14,12,NPLT,נָפַ֥לְתָּ ,>JK NPLT M CMJM HJLL BN CXR NGD<T L >RY XWLC <L GWJM,qal,perf,,,M CMJM,מִשָּׁמַ֖יִם 
1900006,NPL[,1Qisaa,Isaiah,14,12,NPLTH,נפלתה ,HJKH NPLTH M H CMJM HJLJL BN CXR NGD<TH L >RY XWLC <L GWJ,qal,perf,,,[],
217023,<LH[,MT,Isaiah,14,13,><LH,אֶֽעֱלֶ֔ה ,W >TH >MRT B LBBK H CMJM ><LH M M<L L KWKBJ >L >RJM KS>J W >CB B HR MW<D B JRKTJ YPWN,qal,impf,,,H CMJM,הַשָּׁמַ֣יִם 
1900027,<LH[,1Qisaa,Isaiah,14,13,><LH,אעלה ,W >TH >MRTH B LBBKH H CMJM ><LH M M<LH L KWKBJ >L >RJM KS>J >CB B HR MW<D B JRKTJ YPWN,qal,impf,,,[],
217039,<LH[,MT,Isaiah,14,14,><LH,אֶעֱלֶ֖ה ,><LH <L BMTJ <B >DMH L <LJWN,qal,impf,,,<L BMTJ <B,עַל־בָּ֣מֳתֵי עָ֑ב 
1900043,<LH[,1Qisaa,Isaiah,14,14,><LH,אעלה ,><LH <L BWMTJ <B >DMH L <LJWN,qal,impf,,,[],
217049,JRD[,MT,Isaiah,14,15,TWRD,תּוּרָ֖ד ,>K >L C>WL TWRD >L JRKTJ BWR,hof,impf,,,>K >L C>WL >L JRKTJ BWR,אַ֧ךְ אֶל־שְׁאֹ֛ול אֶל־יַרְכְּתֵי־בֹֽור׃ 
1900054,JRD[,1Qisaa,Isaiah,14,15,TWRD,תורד ,>K >L C>WL TWRD >L JRKTJ BWR,hofal,impf,,,[],
217101,JRD[,MT,Isaiah,14,19,JWRDJ,יֹורְדֵ֥י ,W >TH HCLKT M QBRK K NYR NT<B LBWC HRGJM MV<NJ XRB JWRDJ >L >BNJ BWR K PGR MWBS,qal,ptca,,,>L >BNJ BWR,אֶל־אַבְנֵי־בֹ֖ור 
