book_nr,book_name,chapter_nr,chapter_genre,verse_nr,verse_genre,verse_language
1,Genesis,8,prose,7,prose,Hebrew
1,Genesis,8,prose,8,prose,Hebrew
1,Genesis,8,prose,9,prose,Hebrew
1,Genesis,8,prose,10,prose,Hebrew
1,Genesis,8,prose,11,prose,Hebrew
1,Genesis,8,prose,12,prose,Hebrew
1,Genesis,8,prose,13,prose,Hebrew
1,Genesis,8,prose,14,prose,Hebrew
1,Genesis,8,prose,15,prose,Hebrew
1,Genesis,8,prose,16,prose,Hebrew
1,Genesis,8,prose,17,prose,Hebrew
1,Genesis,8,prose,18,prose,Hebrew
1,Genesis,8,prose,19,prose,Hebrew
1,Genesis,8,prose,20,prose,Hebrew
1,Genesis,8,prose,21,prose,Hebrew
1,Genesis,8,prose,22,prose,Hebrew
1,Genesis,9,prose,1,prose,Hebrew
1,Genesis,9,prose,2,prose,Hebrew
1,Genesis,9,prose,3,prose,Hebrew
1,Genesis,9,prose,4,prose,Hebrew
1,Genesis,9,prose,5,prose,Hebrew
1,Genesis,9,prose,6,prose,Hebrew
1,Genesis,9,prose,7,prose,Hebrew
1,Genesis,9,prose,8,prose,Hebrew
1,Genesis,9,prose,9,prose,Hebrew
1,Genesis,9,prose,10,prose,Hebrew
1,Genesis,9,prose,11,prose,Hebrew
1,Genesis,9,prose,12,prose,Hebrew
1,Genesis,9,prose,13,prose,Hebrew
1,Genesis,9,prose,14,prose,Hebrew
1,Genesis,9,prose,15,prose,Hebrew
1,Genesis,9,prose,16,prose,Hebrew
1,Genesis,9,prose,17,prose,Hebrew
1,Genesis,9,prose,18,prose,Hebrew
1,Genesis,9,prose,19,prose,Hebrew
1,Genesis,9,prose,20,prose,Hebrew
1,Genesis,9,prose,21,prose,Hebrew
1,Genesis,9,prose,22,prose,Hebrew
1,Genesis,9,prose,23,prose,Hebrew
1,Genesis,9,prose,24,prose,Hebrew
1,Genesis,9,prose,25,prose,Hebrew
1,Genesis,9,prose,26,prose,Hebrew
1,Genesis,9,prose,27,prose,Hebrew
1,Genesis,9,prose,28,prose,Hebrew
1,Genesis,9,prose,29,prose,Hebrew
1,Genesis,10,list,1,list,Hebrew
1,Genesis,10,list,2,list,Hebrew
1,Genesis,10,list,3,list,Hebrew
1,Genesis,10,list,4,list,Hebrew
1,Genesis,10,list,5,list,Hebrew
1,Genesis,10,list,6,list,Hebrew
1,Genesis,10,list,7,list,Hebrew
1,Genesis,10,list,8,list,Hebrew
1,Genesis,10,list,9,list,Hebrew
1,Genesis,10,list,10,list,Hebrew
1,Genesis,10,list,11,list,Hebrew
1,Genesis,10,list,12,list,Hebrew
1,Genesis,10,list,13,list,Hebrew
1,Genesis,10,list,14,list,Hebrew
1,Genesis,10,list,15,list,Hebrew
1,Genesis,10,list,16,list,Hebrew
1,Genesis,10,list,17,list,Hebrew
1,Genesis,10,list,18,list,Hebrew
1,Genesis,10,list,19,list,Hebrew
1,Genesis,10,list,20,list,Hebrew
1,Genesis,10,list,21,list,Hebrew
1,Genesis,10,list,22,list,Hebrew
1,Genesis,10,list,23,list,Hebrew
1,Genesis,10,list,24,list,Hebrew
1,Genesis,10,list,25,list,Hebrew
1,Genesis,10,list,26,list,Hebrew
1,Genesis,10,list,27,list,Hebrew
1,Genesis,10,list,28,list,Hebrew
1,Genesis,10,list,29,list,Hebrew
1,Genesis,10,list,30,list,Hebrew
1,Genesis,10,list,31,list,Hebrew
1,Genesis,10,list,32,list,Hebrew
1,Genesis,11,prose,1,prose,Hebrew
1,Genesis,11,prose,2,prose,Hebrew
1,Genesis,11,prose,3,prose,Hebrew
1,Genesis,11,prose,4,prose,Hebrew
1,Genesis,11,prose,5,prose,Hebrew
1,Genesis,11,prose,6,prose,Hebrew
1,Genesis,11,prose,7,prose,Hebrew
1,Genesis,11,prose,8,prose,Hebrew
1,Genesis,11,prose,9,prose,Hebrew
1,Genesis,11,prose,10,prose,Hebrew
1,Genesis,11,prose,11,prose,Hebrew
1,Genesis,11,prose,12,prose,Hebrew
1,Genesis,11,prose,13,prose,Hebrew
1,Genesis,11,prose,14,prose,Hebrew
1,Genesis,11,prose,15,prose,Hebrew
1,Genesis,11,prose,16,prose,Hebrew
1,Genesis,11,prose,17,prose,Hebrew
1,Genesis,11,prose,18,prose,Hebrew
1,Genesis,11,prose,19,prose,Hebrew
1,Genesis,11,prose,20,prose,Hebrew
1,Genesis,11,prose,21,prose,Hebrew
1,Genesis,11,prose,22,prose,Hebrew
1,Genesis,11,prose,23,prose,Hebrew
1,Genesis,11,prose,24,prose,Hebrew
1,Genesis,11,prose,25,prose,Hebrew
1,Genesis,11,prose,26,prose,Hebrew
1,Genesis,11,prose,27,prose,Hebrew
1,Genesis,11,prose,28,prose,Hebrew
1,Genesis,11,prose,29,prose,Hebrew
1,Genesis,11,prose,30,prose,Hebrew
1,Genesis,11,prose,31,prose,Hebrew
1,Genesis,11,prose,32,prose,Hebrew
1,Genesis,12,prose,1,prose,Hebrew
1,Genesis,12,prose,2,prose,Hebrew
1,Genesis,12,prose,3,prose,Hebrew
1,Genesis,12,prose,4,prose,Hebrew
1,Genesis,12,prose,5,prose,Hebrew
1,Genesis,12,prose,6,prose,Hebrew
1,Genesis,12,prose,7,prose,Hebrew
1,Genesis,12,prose,8,prose,Hebrew
1,Genesis,12,prose,9,prose,Hebrew
1,Genesis,12,prose,10,prose,Hebrew
1,Genesis,12,prose,11,prose,Hebrew
1,Genesis,12,prose,12,prose,Hebrew
1,Genesis,12,prose,13,prose,Hebrew
1,Genesis,12,prose,14,prose,Hebrew
1,Genesis,12,prose,15,prose,Hebrew
1,Genesis,12,prose,16,prose,Hebrew
1,Genesis,12,prose,17,prose,Hebrew
1,Genesis,12,prose,18,prose,Hebrew
1,Genesis,12,prose,19,prose,Hebrew
1,Genesis,12,prose,20,prose,Hebrew
1,Genesis,13,prose,1,prose,Hebrew
1,Genesis,13,prose,2,prose,Hebrew
1,Genesis,13,prose,3,prose,Hebrew
1,Genesis,13,prose,4,prose,Hebrew
1,Genesis,13,prose,5,prose,Hebrew
1,Genesis,13,prose,6,prose,Hebrew
1,Genesis,13,prose,7,prose,Hebrew
1,Genesis,13,prose,8,prose,Hebrew
1,Genesis,13,prose,9,prose,Hebrew
1,Genesis,13,prose,10,prose,Hebrew
1,Genesis,13,prose,11,prose,Hebrew
1,Genesis,13,prose,12,prose,Hebrew
1,Genesis,13,prose,13,prose,Hebrew
1,Genesis,13,prose,14,prose,Hebrew
1,Genesis,13,prose,15,prose,Hebrew
1,Genesis,13,prose,16,prose,Hebrew
1,Genesis,13,prose,17,prose,Hebrew
1,Genesis,13,prose,18,prose,Hebrew
1,Genesis,14,prose,1,prose,Hebrew
1,Genesis,14,prose,2,prose,Hebrew
1,Genesis,14,prose,3,prose,Hebrew
1,Genesis,14,prose,4,prose,Hebrew
1,Genesis,14,prose,5,prose,Hebrew
1,Genesis,14,prose,6,prose,Hebrew
1,Genesis,14,prose,7,prose,Hebrew
1,Genesis,14,prose,8,prose,Hebrew
1,Genesis,14,prose,9,prose,Hebrew
1,Genesis,14,prose,10,prose,Hebrew
