dpar,level,mean,median,lo_95,lo_80,lo_50,hi_50,hi_80,hi_95
dirhe,Genesis_4Q9,-0.6553197282249383,-0.6296308530279858,-2.2812626116703174,-1.6457421244897887,-1.137006212871063,-0.14463314471073227,0.28223375035636605,0.8399471344126406
dirhe,Genesis_MT,0.8203774115132301,0.8249566019959877,0.21217793172899865,0.4363461125118105,0.6264187548510345,1.023057436664697,1.197283262272912,1.4016666204541983
dirhe,Genesis_Sdeir1,-0.7616224989454078,-0.7247849496722392,-2.3774206539542586,-1.7451712417245109,-1.2372152751909589,-0.2597828060332073,0.17703220835715786,0.6933886963354519
dirhe,Habakkuk_MT,-0.6546716039461539,-0.6280029903546683,-2.381810398281348,-1.662936786060643,-1.1634128903052428,-0.1302861059480922,0.3228035618351871,0.91010324924547
dirhe,Haggai_MT,-0.7453559283792625,-0.7188402041085014,-2.334402573463421,-1.6953383726933875,-1.2122299436872774,-0.25458216557841395,0.16760594912588134,0.6933129255277927
dirhe,Hosea_MT,-0.8794237492030488,-0.8346490595051588,-2.4902867761742886,-1.8481659707390887,-1.3329840035273979,-0.374271778185088,0.030529862275937215,0.5030128821937053
dirhe,Isaiah_1Q8,-0.8016813696350801,-0.761207048446763,-2.3803157734326326,-1.7560335392168205,-1.2690995029174512,-0.2963722815713098,0.10918226694087864,0.5865983443574391
dirhe,Isaiah_1Qisaa,-0.9305934946616106,-0.9046026888607234,-2.152965017075321,-1.6949275184959445,-1.3066670863195071,-0.5299405635066151,-0.19951210199279387,0.16080677990472544
dirhe,Isaiah_MT,-0.9414605209993241,-0.9129081368099281,-2.1793527130243566,-1.697355770275232,-1.3102336475251175,-0.5441841439256172,-0.22260887883788952,0.13553489167555766
dirhe,Jeremiah_4Q72,-0.8045588322803836,-0.7733008800331092,-2.405067396991488,-1.7760574608042488,-1.2748895641810782,-0.294748923516823,0.13040835027721157,0.6097589515334302
dirhe,Jeremiah_4Q72a,-0.6833836125869763,-0.6636171380095085,-2.314663280567762,-1.679780653621512,-1.1658775368932779,-0.17137352915871112,0.2790130999236716,0.8080915062030175
dirhe,Jeremiah_MT,0.43544054359164946,0.41723903820091346,-0.551863667045386,-0.22726595204949926,0.07556512965414056,0.7798545683653353,1.1209906854942588,1.5136168939063326
dirhe,Job_MT,-0.7641558163711528,-0.7354951991946597,-2.381163208589182,-1.7457787339941633,-1.2368339379016446,-0.2571641855559684,0.17884532424905553,0.6700122768146697
dirhe,Joel_MT,-0.7182361590033676,-0.681356396256459,-2.34640718314506,-1.6882009859755707,-1.1939332855554285,-0.20952853537951097,0.21056652314001828,0.7187069350227292
dirhe,Joel_Mur88,-0.6666606315026228,-0.6400839514497889,-2.3318411117667575,-1.6661771023631748,-1.148094074535255,-0.1576015169466059,0.29199008083433714,0.8498787959990177
dirhe,Jonah_4Q76,-0.7481706184698005,-0.7154542056041309,-2.3772341365982506,-1.7156856742757225,-1.2178767341616612,-0.2437473319579608,0.18770909868363672,0.680695051509174
dirhe,Jonah_4Q82,-0.7632791193980297,-0.7301954540330191,-2.3898778110567345,-1.7302928218992797,-1.2271345055427294,-0.2697054642686169,0.17288392126257682,0.6744146008947984
dirhe,Jonah_MT,-0.5732926411905388,-0.56641558395533,-1.8660472961788883,-1.3864349847488482,-0.9837513075765422,-0.14853767710572863,0.22704062559628177,0.6678192835371495
dirhe,Jonah_Mur88,-0.6752759797187387,-0.6507762381092743,-2.0997572409055993,-1.5585446022212583,-1.106678927530822,-0.21973078250856987,0.16666880055933497,0.6425452164334459
dirhe,Joshua_4Q47,-0.6595247582406852,-0.6338862897538659,-2.306802835561501,-1.6684149933166326,-1.1564454392858439,-0.13897660850504756,0.3049908077156901,0.8394776251199607
dirhe,Joshua_4Q48,-0.2854289737083176,-0.2932909395171931,-1.7699470193885258,-1.2101925010326593,-0.7669603608056104,0.1841104166145434,0.656745910630029,1.2467810979886313
dirhe,Joshua_MT,-0.34715315367428473,-0.34676324439364636,-1.0743948250795594,-0.8145226763397466,-0.5886158476634198,-0.0997577810217424,0.11714072138291852,0.3701901873013558
dirhe,Judges_MT,-0.40689146924408326,-0.3982849444950396,-1.1076576730309178,-0.8545394664390359,-0.6318716937525759,-0.17617672817080748,0.029976548225519806,0.2500522133748448
dirhe,Kings_4Q54,-0.6727950424996645,-0.6468036173096009,-2.321362101133831,-1.6688883226023994,-1.1533653968444855,-0.15994573554144761,0.29195029052072535,0.837801864654161
dirhe,Kings_5Q2,-0.7954403411531036,-0.7629491352848897,-2.426131659269025,-1.7690773410428318,-1.2618855802380875,-0.28739275276079645,0.13523456747000387,0.6454231331873996
dirhe,Kings_MT,-0.28152088146435544,-0.27438171312226334,-0.8933889580753809,-0.6652842247867867,-0.47680473328805195,-0.07732500803205987,0.09487169424404548,0.28179458182635797
dirhe,Lamentations_5Q6,-0.6490715819260465,-0.6211679039759158,-2.3246494440074708,-1.643787200364101,-1.1293675314510159,-0.14251649151973028,0.30533265029597784,0.8804910120822163
dirhe,Lamentations_MT,-0.6870612515666373,-0.6574506214904792,-2.3181564571003386,-1.6709784342520118,-1.1837865644451089,-0.17585735221386256,0.2715300373275095,0.8179586480729386
dirhe,Leviticus_11Q1,-0.720476608088945,-0.687730803932859,-2.3604689052183376,-1.6897081264828269,-1.1860128621954853,-0.21910167992378787,0.21301975130093048,0.7262322544238698
dirhe,Leviticus_11Q2,-0.6583490125484067,-0.6320602594077736,-2.3314510413363636,-1.676579163979105,-1.136330579376914,-0.14303095497396537,0.307915696474574,0.8479688670228003
dirhe,Leviticus_4Q23,-0.7012929202873245,-0.6728529294228298,-2.4112663073078844,-1.7021188692364004,-1.1882205423209564,-0.18006480886744147,0.2644738795050778,0.8329556245788323
dirhe,Leviticus_4Q24,-0.6662542319407396,-0.6451125004955071,-2.287175744118284,-1.6454850630217124,-1.1570738162574574,-0.15714646575856642,0.2950047114625193,0.8556667642680905
dirhe,Leviticus_4Q26a,-0.6553941180830202,-0.6359936229146818,-2.3335966021544183,-1.6852007088894907,-1.1505838665347083,-0.1380454729234281,0.34247994790794734,0.9241357838116083
dirhe,Leviticus_MT,-1.3569809606116152,-1.29515225731947,-2.945450665760175,-2.2882594780363403,-1.7801234193211715,-0.8567082687283878,-0.5073315748782822,-0.12750303868086746
dirhe,Leviticus_Mas1a,-0.6643713504558887,-0.6372974238058273,-2.370199579768494,-1.6788448340249031,-1.1556072788989822,-0.14158023993707186,0.32382510316036184,0.8932189343709851
dirhe,Leviticus_Mas1b,-0.7715689411667142,-0.7399654021777572,-2.379461205801747,-1.7411528211749439,-1.2297071858211774,-0.26358987100920683,0.15805021143992617,0.6441049798631691
dirhe,Malachi_MT,-0.6698710567601789,-0.6457573263049174,-2.3167638954646095,-1.6660763509515593,-1.1539681472377177,-0.1577054653788354,0.29051087157293304,0.8415814522734759
dirhe,Micah_MT,-0.8570073166178662,-0.8069823043645663,-2.485024411572655,-1.8270736147446422,-1.313725022759804,-0.35448094044941436,0.05417377762373463,0.5401807522510264
dirhe,Micah_Mur88,-0.6493941627577237,-0.6230310865857993,-2.320440180486312,-1.6452661933930166,-1.1420196635536923,-0.14128852606442804,0.31267771680420653,0.8642404756030316
dirhe,Nahum_MT,-0.7915842464903534,-0.7536383718705737,-2.412215516876041,-1.755369033151064,-1.2541748507955501,-0.28389863879428023,0.14115319537555154,0.5993633456850765
dirhe,Nahum_Mur88,-0.6681414261288773,-0.6407509625181086,-2.3060862189555795,-1.6589916793135984,-1.1513501471025456,-0.16127902116853352,0.28828891619328506,0.8499152931737034
dirhe,Nehemiah_MT,-1.030345566688649,-0.9855459366420125,-2.6158889637062326,-1.9809584684807973,-1.4818461649987094,-0.52750907109332,-0.14724921606639033,0.29206008401859607
dirhe,Numbers_4Q23,-0.7848711514498017,-0.7482968130908898,-2.4015705106089027,-1.7659536368266413,-1.2523600391307461,-0.2794931562434989,0.14190823991349663,0.63765342220384
dirhe,Numbers_4Q27,-0.9831791636802438,-0.9300883881534221,-2.5924113604589576,-1.9523589154874326,-1.4307837562212034,-0.48067731382230366,-0.08380131043485217,0.3536723738143945
dirhe,Numbers_MT,-0.8110326533040776,-0.8044134351816569,-1.5617355918748697,-1.2891077142845482,-1.0540142413944622,-0.5540423392338819,-0.34741225231455364,-0.10517654952877178
dirhe,Obadiah_MT,-0.666806577080513,-0.6498637593863896,-2.3026299228081863,-1.6573180511341608,-1.153249193054994,-0.15463896841532432,0.3149547935177296,0.8526219745972561
dirhe,Obadiah_Mur88,-0.6661776937483158,-0.6452257842997207,-2.3138029217624014,-1.6533498997310017,-1.1561335645732127,-0.15471173953653855,0.3055519260966573,0.8425743984472631
dirhe,Proverbs_MT,-0.7282753894169346,-0.6899875303765677,-2.3703959581863194,-1.7218092084902379,-1.201711417752748,-0.220458731253275,0.19972341318643658,0.7369375646777927
dirhe,Psalms_4Q83,-0.6622498535512166,-0.6418344303038628,-2.315628685960213,-1.6409034984333106,-1.153180234754219,-0.15562462648536748,0.29393645246870176,0.8594132130151657
dirhe,Psalms_4Q85,-0.6637562743847051,-0.6371855817060053,-2.3214145913777795,-1.6822552168494342,-1.1624110468147424,-0.1417774394095697,0.30503493677643545,0.8750551381206464
dirhe,Psalms_4Q97,-0.6485223678180042,-0.6294224803579683,-2.3051523057883556,-1.6460419943823592,-1.130818317791569,-0.134831750975414,0.31812184009152844,0.876123819000391
dirhe,Psalms_4Q98a,-0.6618029096630414,-0.6403512467781217,-2.3003629027045642,-1.6573880993712475,-1.1486315632211512,-0.13285590352704396,0.2849917448718626,0.8231790845318301
dirhe,Psalms_MT,-0.8858289181638163,-0.8456504207601793,-2.510869674075752,-1.8593776999144713,-1.3445675771944354,-0.3768308544518165,0.033333859775734005,0.5158886660637572
dirhe,Ruth_2Q17,-0.7460325495823795,-0.718471928398388,-2.410897271641491,-1.7366804062551684,-1.2237102557365218,-0.22848434861431555,0.2023975727982328,0.7235992770443729
dirhe,Ruth_4Q104,-0.6695246858485304,-0.6393215318474345,-2.331862881427016,-1.6804783292935443,-1.152450778477569,-0.15277789351593435,0.29057227117932016,0.8485773374666482
dirhe,Ruth_MT,-1.056198546819522,-1.00689995037891,-2.671095777863681,-2.015129074134662,-1.5049541184588011,-0.5565822949870507,-0.16966792349222343,0.27314953197034586
dirhe,Samuel_1Q7,-0.7628675757951868,-0.7306762063093468,-2.366567748909622,-1.7395688643590734,-1.2294647035481057,-0.2633245331343555,0.17181862726912062,0.6635947488758672
dirhe,Samuel_4Q51,-0.8459599362215136,-0.8203527608449082,-2.2222101206813396,-1.6817862832432162,-1.2596051455122779,-0.39905776930180986,-0.04815836020731504,0.35337466721004074
dirhe,Samuel_4Q52,-0.10514313890104927,-0.13062155567858985,-1.432015949686351,-0.9686700174437897,-0.5726823747639083,0.3388669586014671,0.7990735551833361,1.3618052176099622
dirhe,Samuel_4Q53,-0.7341739816645346,-0.7021009883242411,-2.359778573456429,-1.7162816413174764,-1.2174330379229203,-0.21933960706615013,0.19960113142195776,0.6967031773489494
dirhe,Samuel_MT,-0.45257086054740503,-0.4492292679307256,-1.0173481046415378,-0.8141741437300666,-0.6388331445760185,-0.2632094085185244,-0.09198256550748544,0.09297442451821175
dirhe,Song_of_songs_6Q6,-0.6665099834744765,-0.6387989319592826,-2.3146691646393287,-1.670524275268562,-1.150447908535718,-0.15123957987631687,0.2872641000971645,0.8481877164469566
dirhe,Song_of_songs_MT,-0.6861344069254554,-0.6661247011366822,-2.318218446958005,-1.6706854756004557,-1.1591101613892898,-0.1813927522174479,0.26138205408770937,0.8087501448251694
dirhe,Zechariah_MT,-0.4699836766663194,-0.460851174532634,-1.9130550867627787,-1.3568263206049624,-0.9102209367987215,-0.013442765542161395,0.4089234078303902,0.9035671315891001
dirhe,Zephaniah_MT,-0.6519536853989727,-0.6317049598841631,-2.2673255334747697,-1.6385655157283388,-1.1440308545028273,-0.14831851812333546,0.3161134608099345,0.85863196124155
dirhe,Zephaniah_Mur88,-0.6543694271482338,-0.6302463994507055,-2.2817198245854016,-1.6482947589781545,-1.147114526410995,-0.14652378284661086,0.3104698845346379,0.8697176511908888
vc,1QH_1QH,-1.4805468090977905,-1.4515744036673248,-3.3286888908039587,-2.643818492478449,-2.0554946183177956,-0.8654452515866677,-0.36535821998429274,0.20355064224673408
vc,1QM_1QM,-0.8438359847932957,-0.8464268614676052,-2.4804267990026827,-1.8812585505282127,-1.377561639944201,-0.3049855326702347,0.19627893561559814,0.7804681761439002
vc,1QS_1QS,-1.4142066212741076,-1.380651841600013,-3.354385752974478,-2.60567569523422,-1.9957190626045878,-0.7886345877819934,-0.2685386039129042,0.3098467410866596
vc,Amos_MT,0.2095962484856911,0.20328049836447903,-0.9064469212451075,-0.5336138077932898,-0.18061812995228566,0.5920139809833752,0.960866388394099,1.3830498167781522
vc,Amos_Mur88,-0.6962020204192791,-0.7078028731116155,-2.433532343971287,-1.8157070521243952,-1.2914609973554443,-0.11204033871014069,0.44467166566373545,1.1324491709817286
vc,Chronicles_MT,-0.5090777440279979,-0.5107215808137291,-1.5970518193538163,-1.2063135526237274,-0.8737266589926922,-0.1449724750590058,0.19166349304156705,0.5808268514587017
vc,Daniel_MT,-0.5071947041527647,-0.5106824834953991,-1.8080687781442517,-1.3431451546126352,-0.9436792332421153,-0.06631160601581318,0.32424715641748414,0.8139925005180784
vc,Deuteronomy_11Q3,-1.316756630900882,-1.290136546596272,-3.2813260752339373,-2.5198762595461295,-1.9109716179904348,-0.6869743954075398,-0.14770777956019096,0.47383331436119575
vc,Deuteronomy_4Q128,-1.3922751364729673,-1.3588905808216307,-3.3265247721651434,-2.5945837437304657,-1.9827889834591428,-0.7638783662213792,-0.2331395336150623,0.3523799893959733
vc,Deuteronomy_4Q129,-1.1824167892487703,-1.1564705459586608,-3.1774515905001284,-2.444198947959537,-1.8186739614612715,-0.526338653610787,0.046205367435463544,0.7186129657405295
vc,Deuteronomy_4Q134,-1.3833754894669765,-1.3453466236842408,-3.3265482960781094,-2.58586262215661,-1.9757157527467846,-0.7614028328707863,-0.22918317129401397,0.36082821220675204
vc,Deuteronomy_4Q135,-1.3116619737135902,-1.2720611589131416,-3.2809348975038626,-2.5231601254830327,-1.9162236003584465,-0.6821155261304985,-0.14789429361950834,0.4648714521481266
vc,Deuteronomy_4Q137,-1.382711219245656,-1.3606163503632618,-3.2973260946219662,-2.5816501789659743,-1.9893528489800152,-0.7538273901929982,-0.21388569330126703,0.38865501990339196
vc,Deuteronomy_4Q138,-0.7850798936477931,-0.7860657595982408,-2.4998090579810244,-1.8545401960037915,-1.3329990625353683,-0.222122483434392,0.26678947754297466,0.9027119339798922
vc,Deuteronomy_4Q142,-1.3654752738381188,-1.3366840060199456,-3.2650592981096787,-2.542559406682672,-1.940916216186347,-0.7535717333662892,-0.2327864128720978,0.35589596702759196
vc,Deuteronomy_4Q150,-1.3528982043539608,-1.320495145065307,-3.251423775348392,-2.5417993223651862,-1.9374671170951507,-0.7359051198561537,-0.20809215735952846,0.4164698381413859
vc,Deuteronomy_4Q28,-1.2413227363057635,-1.2143082688787206,-3.2348583800558006,-2.469519442375582,-1.8625812232240404,-0.5951836484282655,-0.041432487376281475,0.6016282003667481
vc,Deuteronomy_4Q30,-1.1824090899663373,-1.1595322852652437,-3.1790362606684406,-2.448982760936187,-1.8213635653572453,-0.5302190953644446,0.056629497512090524,0.7517502607338622
