verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,reconstructed_verse,spatial_arg_type
294615,CWB[,MT,Joel,2,14,JCWB,MJ JWD< JCWB W NXM W HC>JR >XRJW BRKH MNXH W NSK L JHWH >LHJKM,JCWB,,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
294759,<LH[,MT,Joel,2,20,<LH,W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >L >RY YJH W CMMH >T PNJW >L H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW KJ HGDJL L <FWT,W <LH B>CW,B>CW,no complement,no complement,,,,,,,,,,,qal,perf,,,,,,,,,,,
294762,<LH[,MT,Joel,2,20,T<L,W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >L >RY YJH W CMMH >T PNJW >L H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW KJ HGDJL L <FWT,W T<L YXNTW,YXNTW,no complement,no complement,,,,,,,,,,,qal,impf,,,,,,,,,,,
2091626,<LH[,Mur88,Joel,2,20,<LH,W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >L >RY YJH W CMMH >T PNJW >L H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW KJ HGDJL L <FWT,None,None,,,,,,,,,,,0.0,1 11 0 00000 11111 1 11111 1 111111 11 111 111 1 1110 00 0000 00 1 11 1 11111 1 111 11 1 11 1 11111 1 111 1100 0 000 00011 11 11111 1 1111,qal,perf,,,,,,,,,,[W >T] H YPWNJ [>RXJQ M <LJKM W HDXTJW >L >RY YJH W CMM]H >T PNJW >L [H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>]CW W T<L YXN[TW KJ HGDJL L <FWT],
2091629,<LH[,Mur88,Joel,2,20,T<L,W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >L >RY YJH W CMMH >T PNJW >L H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW KJ HGDJL L <FWT,None,None,,,,,,,,,,,0.0,1 11 0 00000 11111 1 11111 1 111111 11 111 111 1 1110 00 0000 00 1 11 1 11111 1 111 11 1 11 1 11111 1 111 1100 0 000 00011 11 11111 1 1111,qal,impf,,,,,,,,,,[W >T] H YPWNJ [>RXJQ M <LJKM W HDXTJW >L >RY YJH W CMM]H >T PNJW >L [H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>]CW W T<L YXN[TW KJ HGDJL L <FWT],
2039025,<LH[,4Q78,Joel,2,20,<LH,W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >L >RY YJH W CMMH >T PNJW >L H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW KJ HGDJL L <FWT,None,None,,,,,,,,,,,0.0,1 11 1 11111 11111 1 11111 1 111111 10 111 111 1 0000 11 0000 00 0 11 1 11111 1 111 11 1 11 1 11111 1 111 1111 1 111 11111 00 00010 0 1111,qal,perf,,,,,,,,,,[W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >]L [>RY YJH W] CMMH [>T] PNJW >L H [JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW] KJ HGD[J]L L [<FWT],
2039028,<LH[,4Q78,Joel,2,20,T<L,W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >L >RY YJH W CMMH >T PNJW >L H JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW KJ HGDJL L <FWT,None,None,,,,,,,,,,,0.0,1 11 1 11111 11111 1 11111 1 111111 10 111 111 1 0000 11 0000 00 0 11 1 11111 1 111 11 1 11 1 11111 1 111 1111 1 111 11111 00 00010 0 1111,qal,impf,,,,,,,,,,[W >T H YPWNJ >RXJQ M <LJKM W HDXTJW >]L [>RY YJH W] CMMH [>T] PNJW >L H [JM H QDMNJ W SPW >L H JM H >XRWN W <LH B>CW W T<L YXNTW] KJ HGD[J]L L [<FWT],
294814,JRD[,MT,Joel,2,23,JWRD,W BNJ YJWN GJLW W FMXW B JHWH >LHJKM KJ NTN LKM >T H MWRH L YDQH W JWRD LKM GCM MWRH W MLQWC B R>CWN,W JWRD LKM GCM MWRH W MLQWC B R>CWN,,LKM,L,,0.0,prep,prsf,,det,prsf,simple,,,hif,wayq,,,L,,,,,,,,
2039083,JRD[,4Q78,Joel,2,23,JWRD,W BNJ YJWN GJLW W FMXW B JHWH >LWHJKMH KJ NTN LKM >T H MWRH L YDQH W JWRD LKM GCM MWRH W MLQWC B R>CWN,None,None,,,,,,,,,,,0.0,1 111 1111 1111 1 1111 1 1111 10111111 11 111 111 11 1 1111 1 1111 1 1111 111 111 1111 1 11111 1 11111,hif,wayq,,,,,,,,,,[W BNJ YJWN GJLW W FMXW B JHWH >]L[WHJKMH KJ NTN LKM >T H MWRH L YDQH W JWRD LKM GCM MWRH W MLQWC B R>CWN],
294967,BW>[,MT,Joel,3,4,BW>,H CMC JHPK L XCK W H JRX L DM L PNJ BW> JWM JHWH H GDWL W H NWR>,L PNJ BW> JWM JHWH H GDWL W H NWR>,JWM JHWH H GDWL W H NWR>,no complement,no complement,,,,,,,,,,,qal,infc,,,,,,,,,,,
