verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1944137,JY>[,4Q11,Exodus,17,9,Y>,W J>MR MCH >L JHWC< BXR LNW >NCJM W Y> HLXM B <MLQ MXR >NKJ NYB <L,None,None,,,,0,1 1011 010 00 00111 111 111 11111 1 11 1111 1 1111 111 1111 110 00,qal,impv,,,,,,,
1944166,<LH[,4Q11,Exodus,17,10,<LW,W J<F JHWC< K >CR >MR LW MCH L HLXM B <MLQ W MCH >HRN W XWR <LW R>C H GB<H,W MCH >HRN W XWR <LW R>C H GB<H,MCH >HRN W XWR,R>C H GB<H,,0,0,1 111 11111 1 111 111 11 110 0 0000 1 1111 1 111 1111 1 111 111 111 1 1111,qal,perf,,,,,,,
1944276,HLK[,4Q11,Exodus,18,20,JLKW,>THM >T H XQ JM W >T H TWRWT W HWD<T LHM >T H DRK >CR JLKW BH W >T H M<FH >CR J<FWN,None,None,,,,0,1110 00 0 00 00 0 00 0 00000 0 01111 111 00 0 000 000 0000 00 0 00 0 0000 000 00000,qal,impf,,,,,,,
1944330,BW>[,4Q11,Exodus,18,22,JBJ>W,W CPVW >T H <M B KL <T W HJH KL H DBR H GDWL JBJ>W >LJK W KL H DBR H QVN JCPVW HM W HQL M <LJK W NF>W >TK,KL H DBR H GDWL JBJ>W >LJK,,>LJK,,0,0,1 1100 00 0 00 0 00 11 1 111 00 0 100 0 0111 11111 1111 1 11 1 111 1 111 11111 11 1 000 0 0000 0 0111 111,hif,impf,>L,,,,,,
1944370,BW>[,4Q11,Exodus,18,23,JB>,>M >T H DBR H ZH T<FH W YWK >LHJM W JKLT <MD W GM KL H <M H ZH <L MQMW JB> B CLWM,W GM KL H <M H ZH <L MQMW JB> B CLWM,GM KL H <M H ZH,<L MQMW,,0,0,11 11 1 111 1 11 1111 1 111 11111 1 0000 000 0 00 00 0 00 0 00 00 1111 111 1 1111,qal,impf,<L,,,,,,
1944394,HLK[,4Q11,Exodus,19,24,LK,JHWH LK RD W <LJT >TH W >HRN <MK W H KHNJM W H <M >L JHRSW L <LT >L JHWH,None,None,,,,0,1111 11 11 1 1111 111 1 1100 001 1 1 11111 1 1 11 11 11111 1 111 11 1111,qal,impv,,,,,,,
1944395,JRD[,4Q11,Exodus,19,24,RD,JHWH LK RD W <LJT >TH W >HRN <MK W H KHNJM W H <M >L JHRSW L <LT >L JHWH,None,None,,,,0,1111 11 11 1 1111 111 1 1100 001 1 1 11111 1 1 11 11 11111 1 111 11 1111,qal,impv,,,,,,,
1944397,<LH[,4Q11,Exodus,19,24,<LJT,JHWH LK RD W <LJT >TH W >HRN <MK W H KHNJM W H <M >L JHRSW L <LT >L JHWH,None,None,,,,0,1111 11 11 1 1111 111 1 1100 001 1 1 11111 1 1 11 11 11111 1 111 11 1111,qal,perf,,,,,,,
1944411,<LH[,4Q11,Exodus,19,24,<LT,JHWH LK RD W <LJT >TH W >HRN <MK W H KHNJM W H <M >L JHRSW L <LT >L JHWH,None,None,,,,0,1111 11 11 1 1111 111 1 1100 001 1 1 11111 1 1 11 11 11111 1 111 11 1111,qal,infc,,,,,,,
1944418,JRD[,4Q11,Exodus,19,25,JRD,W JRD MCH >L H <M W J>MR >LHM,W JRD MCH >L H <M,MCH,>L H <M,,0,0,0 000 001 11 1 11 1 1111 1111,qal,wayq,>L,,,,,,
1944443,JY>[,4Q11,Exodus,20,2,HWY>TJK,>NKJ JHWH >LHJK >CR HWY>TJK M >RY MYRJM M BJT <BDJM,>CR HWY>TJK M >RY MYRJM M BJT <BDJM,,M >RY MYRJM M BJT <BDJM,,0,0,1111 1111 11111 111 1000000 0 011 11111 1 111 11111,hif,perf,MN,MN,,,,,
1944609,NWX[,4Q11,Exodus,23,12,JNWX,CCT JMJM T<FH M<FJK W B JWM H CBJ<J TCBT LM<N JNWX CWRK W XMWRK W JNPC BN >MTK W H GR,None,None,,,,0,000 0000 0000 00000 1 1 111 1 11111 1100 0000 0000 1111 1 00000 1 1011 11 1111 1 1 11,qal,impf,,,,,,,
1944665,JY>[,4Q11,Exodus,23,15,JY>T,>T XG H MYWT TCMR CB<T JMJM T>KL MYWT K >CR YWJTJK L MW<D XDC H >BJB KJ BW JY>T M MYRJM W L> JR>W PNJ RJQM,KJ BW JY>T M MYRJM,,M MYRJM,,0,0,00 00 0 0000 1111 1111 1111 1111 1111 0 000 000000 1 1111 111 1 1111 11 11 1111 0 00000 0 00 1111 111 1111,qal,perf,MN,,,,,,
1944791,BW>[,4Q11,Exodus,25,14,HB>T,W HB>T >T H BDJM B VB<T <L YL<WT H >RN L F>T >T H >RWN BHM,None,None,,,,0,1 1111 11 1 1111 1 1111 00 00000 1 111 1 111 11 0 0000 000,hif,perf,,,,,,,
1944816,SWR[,4Q11,Exodus,25,15,JSRW,B VB<WT H >RWN JHJW H BDJM L> JSRW MMNW,L> JSRW MMNW,,MMNW,,0,0,1 10000 0 0000 0000 0 0111 11 1111 1111,qal,impf,MN,,,,,,
1944988,BW>[,4Q11,Exodus,26,33,HB>WT,W NTTH >T H PRKT TXT H QRSJM W HB>WT CM M BJT L PRKT >T >RWN H <DWT W HBDJLH H PRKT LKM BJN H QDC W BJN QDC H QDCJM,None,None,,,,0,1 1111 11 1 1111 111 1 11111 1 10000 00 0 000 1 1111 11 1000 0 0000 1 111110 0 0001 111 111 1 111 1 111 110 0 11100,hif,perf,,,,,,,
1945128,BW>[,4Q11,Exodus,27,7,HWB>,W HWB> >T BDJW B VB<WT W HJW H BDJM <L CTJ YL<T H MZBX B F>T >TW,None,None,,,,0,0 0001 00 0000 0 11111 1 111 1 1111 11 111 1111 1 1111 1 100 000,hof,perf,,,,,,,
1945307,BW>[,4Q11,Exodus,28,35,B>W,W HJH <L >HRN L CRT W NCM< QWLW B B>W >L H QDC L PNJ JHWH W B Y>TW W L> JMWT,B B>W >L H QDC L PNJ JHWH,,>L H QDC,,0,0,1 111 11 0110 0 000 0 1111 1111 1 111 11 1 111 1 111 1111 1 1 1111 1 11 1111,qal,infc,>L,L,,,,,
1945307,BW>[,4Q11,Exodus,28,35,B>W,W HJH <L >HRN L CRT W NCM< QWLW B B>W >L H QDC L PNJ JHWH W B Y>TW W L> JMWT,B B>W >L H QDC L PNJ JHWH,,L PNJ JHWH,,0,0,1 111 11 0110 0 000 0 1111 1111 1 111 11 1 111 1 111 1111 1 1 1111 1 11 1111,qal,infc,>L,L,,,,,
1945779,BW>[,4Q13,Exodus,1,1,B>JM,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,None,None,,,,1,111 1111 111 11111 1 1111 111111 00 00000 00000 000 1 1111 111,qal,ptca,,,,,,,
1945787,BW>[,4Q13,Exodus,1,1,B>W,>LH CMWT BNJ JFR>L H B>JM MYRJMH >T J<QWB >BJHM >JC W BJTW B>W,None,None,,,,1,111 1111 111 11111 1 1111 111111 00 00000 00000 000 1 1111 111,qal,perf,,,,,,,
1945925,BW>[,4Q13,Exodus,1,19,TBW>,W TW>MRNH H MJLDWT >L PR<H KJ L> K NCJM H MYRJWT H <BRJWT KJ B VRM TBW> >LJHNH H MJLDT W JLDW,None,None,,,,0,0 0000000 0 000000 00 0000 00 00 0 0000 0 001111 1 111111 11 1 111 0000 000000 0 00000 0 0000,qal,impf,,,,,,,
1945991,HLK[,4Q13,Exodus,2,3,LKJ,W L> JKLH <WD HYPJNW W TQX LW >MW TBT GM> W TXMRH B XMR W B ZPT W TFJM BH >T H JLD W TW>MR L CPXTH LKJ W TFJM >WTW B SWP <L FPT H J>R,None,None,,,,0,0 00 0000 110 000000 0 001 11 111 111 111 1 11111 1 111 1 1 111 1 1111 11 11 0 000 0 00000 0 00000 000 1 1000 0000 0 000 00 000 0 000,qal,impv,,,,,,,
1946014,JRD[,4Q13,Exodus,2,5,TRD,W TRD BT PR<H L RXWY <L H J>R W N<RWTJH HWLKWT <L JD H J>R W TR> >T H TBH B TWK H SWP W TCLX >T >MTH W TQXH,W TRD BT PR<H L RXWY <L H J>R,BT PR<H,<L H J>R,,0,0,0 000 00 0000 0 0000 00 0 000 1 1111111 111111 11 11 1 100 0 000 00 0 000 0 000 0 000 0 0000 00 0000 1 1111,qal,wayq,<L,,,,,,
1946024,HLK[,4Q13,Exodus,2,5,HWLKWT,W TRD BT PR<H L RXWY <L H J>R W N<RWTJH HWLKWT <L JD H J>R W TR> >T H TBH B TWK H SWP W TCLX >T >MTH W TQXH,W N<RWTJH HWLKWT <L JD H J>R,N<RWTJH,<L JD H J>R,,0,0,0 000 00 0000 0 0000 00 0 000 1 1111111 111111 11 11 1 100 0 000 00 0 000 0 000 0 000 0 0000 00 0000 1 1111,qal,ptca,<L,,,,,,
1946076,HLK[,4Q13,Exodus,2,7,>JLK,W TW>MR >XWTW >L BT PR<H H >JLK W QR>TJ LK >CH MJNQT MN H <BRJWT W HJNQH LK >T H JLD,None,None,,,,0,0 00000 00000 00 00 0000 0 0000 0 00000 00 111 11111 11 1 111111 0 00000 00 00 0 000,qal,impf,,,,,,,
1946097,HLK[,4Q13,Exodus,2,8,LKJ,W TW>MR LH BT PR<H LKJ W TLK H <LMH W TQR> >T >M H JLD,None,None,,,,0,0 00000 00 00 0000 000 0 000 1 1111 1 1111 11 11 1 101,qal,impv,,,,,,,
1946099,HLK[,4Q13,Exodus,2,8,TLK,W TW>MR LH BT PR<H LKJ W TLK H <LMH W TQR> >T >M H JLD,None,None,,,,0,0 00000 00 00 0000 000 0 000 1 1111 1 1111 11 11 1 101,qal,wayq,,,,,,,
1946142,BW>[,4Q13,Exodus,2,10,TBJ>HW,W JGDL H JLD W TBJ>HW L BT PR<H W JHJ LH L BN W TQR> CMW MWCH W TW>MR KJ MN H MJM MCJTJHW,None,None,,,,0,1 1111 1 111 1 111111 1 11 1111 1 111 11 1 11 1 1111 111 1111 1 11111 11 11 1 110 1111111,hif,wayq,,,,,,,
1946177,JY>[,4Q13,Exodus,2,11,JY>,W JHJ B JMJM H RBJM H HM W JGDL MWCH W JY> >L >XJW W JR> B SBLWTM W JR> >JC MYRJ MKH >JC <BRJ M >XJW,None,None,,,,0,1 111 1 1111 1 0000 0 00 1 1111 1111 1 111 11 1111 1 111 1 111111 1 111 111 1111 111 111 1000 0 0000,qal,wayq,,,,,,,
1946195,PNH[,4Q13,Exodus,2,12,JPN,W JPN KH W KH W JR> KJ >JN >JC W JK >T H MYRJ W JVMNHW B XWL,None,None,,,,0,0 000 01 1 11 0 000 11 111 111 1 11 11 1 1111 1 111111 1 111,qal,wayq,,,,,,,
1946215,JY>[,4Q13,Exodus,2,13,JY>,W JY> B JWM H CNJ W JR> W HNH CNJ >NCJM <BRJM NYJM W JW>MR L RC< LMH TKH >T R<K,None,None,,,,0,0 000 0 000 0 000 0 000 0 000 000 00000 00011 0000 1 11111 1 111 111 111 10 000,qal,wayq,,,,,,,
1946288,BRX[,4Q13,Exodus,2,15,JBRX,W JCM< PR<H >T H DBR H ZH W JBQC L HRWG >T MWCH W JBRX MWCH M PNJ PR<H W JBW> B >RY MDJN W JCB <L H B>R,None,None,,,,0,1 1111 1111 11 1 111 0 00 0 0000 0 0000 00 0000 1 0000 0000 1 111 1111 1 1111 1 111 1111 1 111 00 0 000,qal,wayq,,,,,,,
1946294,BW>[,4Q13,Exodus,2,15,JBW>,W JCM< PR<H >T H DBR H ZH W JBQC L HRWG >T MWCH W JBRX MWCH M PNJ PR<H W JBW> B >RY MDJN W JCB <L H B>R,None,None,,,,0,1 1111 1111 11 1 111 0 00 0 0000 0 0000 00 0000 1 0000 0000 1 111 1111 1 1111 1 111 1111 1 111 00 0 000,qal,wayq,,,,,,,
1946313,BW>[,4Q13,Exodus,2,16,TBW>NH,W L KWHN MDJN CB< BNWT RW<WT Y>NW W TBW>NH W TDLJNH W TML>NH >T H RHVJM L HCQWT >T Y>N >BJHN,None,None,,,,0,0 0 0000 0100 000 0000 00010 1111 1 111111 1 111111 1 111111 00 0 00000 0 00000 00 000 00000,qal,wayq,,,,,,,
