verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
1999384,BW>[,4Q51,1_Samuel,10,5,TBW>,W >XR KN TBW> GB<T H >LWHJM >CR CM NYJB PLCTJ W HJH K BW>K CM H <JR W PG<T XBL NB>JM JRDJM M H BMH W L PNJHM NBL W TWP W KNWR W HMH MTNB>JM,None,None,,,,0,1 111 11 1111 1111 1 111111 111 11 1111 11100 0 000 1 1111 11 1 111 1 1111 111 10000 00000 1 1 111 1 1 11100 000 0 000 1 1111 1 111 1111111,qal,impf,,,,,,,
1999395,BW>[,4Q51,1_Samuel,10,5,BW>K,W >XR KN TBW> GB<T H >LWHJM >CR CM NYJB PLCTJ W HJH K BW>K CM H <JR W PG<T XBL NB>JM JRDJM M H BMH W L PNJHM NBL W TWP W KNWR W HMH MTNB>JM,None,None,,,,0,1 111 11 1111 1111 1 111111 111 11 1111 11100 0 000 1 1111 11 1 111 1 1111 111 10000 00000 1 1 111 1 1 11100 000 0 000 1 1111 1 111 1111111,qal,infc,,,,,,,
1999403,JRD[,4Q51,1_Samuel,10,5,JRDJM,W >XR KN TBW> GB<T H >LWHJM >CR CM NYJB PLCTJ W HJH K BW>K CM H <JR W PG<T XBL NB>JM JRDJM M H BMH W L PNJHM NBL W TWP W KNWR W HMH MTNB>JM,None,None,,,,0,1 111 11 1111 1111 1 111111 111 11 1111 11100 0 000 1 1111 11 1 111 1 1111 111 10000 00000 1 1 111 1 1 11100 000 0 000 1 1111 1 111 1111111,qal,ptca,,,,,,,
1999436,BW>[,4Q51,1_Samuel,10,7,TB>NH,W HJH KJ TB>NH H >TWT H >LH LK <FH KWL >CR TMY> JDK KJ H >LWHJM <MK,None,None,,,,0,1 111 11 11110 0 0000 1 111 11 111 111 100 0000 000 00 1 111111 111,qal,impf,,,,,,,
1999453,JRD[,4Q51,1_Samuel,10,8,JRDT,W JRDT L PNJ H GLGLH W HNH >NWKJ JWRD >LJK L <LWT <WLWT L ZBX ZBXJ CLMJM CB<T JMJM TWXL <D BW>J >LJK W HD<TJ LK >T >CR T<FH,None,None,,,,1,1 1111 1 111 1 11111 1 111 11111 1100 0000 0 0000 11011 1 111 1111 11111 1111 1111 1111 11 1111 1111 0 00011 11 11 111 1111,qal,perf,,,,,,,
1999461,JRD[,4Q51,1_Samuel,10,8,JWRD,W JRDT L PNJ H GLGLH W HNH >NWKJ JWRD >LJK L <LWT <WLWT L ZBX ZBXJ CLMJM CB<T JMJM TWXL <D BW>J >LJK W HD<TJ LK >T >CR T<FH,None,None,,,,1,1 1111 1 111 1 11111 1 111 11111 1100 0000 0 0000 11011 1 111 1111 11111 1111 1111 1111 11 1111 1111 0 00011 11 11 111 1111,qal,ptca,,,,,,,
1999474,BW>[,4Q51,1_Samuel,10,8,BW>J,W JRDT L PNJ H GLGLH W HNH >NWKJ JWRD >LJK L <LWT <WLWT L ZBX ZBXJ CLMJM CB<T JMJM TWXL <D BW>J >LJK W HD<TJ LK >T >CR T<FH,<D BW>J >LJK,,>LJK,,0,1,1 1111 1 111 1 11111 1 111 11111 1100 0000 0 0000 11011 1 111 1111 11111 1111 1111 1111 11 1111 1111 0 00011 11 11 111 1111,qal,infc,>L,,,,,,
1999486,PNH[,4Q51,1_Samuel,10,9,HPNWT,W HJH K HPNWT L LKT M <M CMW>L W JHPK LW H >LWHJM LB >XR W JBW>W KWL H >WTWT B JWM H HW>,None,None,,,,0,1 111 1 11111 1 011 1 11 11111 1 1111 11 0 000000 11 111 1 11111 111 1 11111 1 111 1 000,hif,infc,,,,,,,
1999488,HLK[,4Q51,1_Samuel,10,9,LKT,W HJH K HPNWT L LKT M <M CMW>L W JHPK LW H >LWHJM LB >XR W JBW>W KWL H >WTWT B JWM H HW>,None,None,,,,0,1 111 1 11111 1 011 1 11 11111 1 1111 11 0 000000 11 111 1 11111 111 1 11111 1 111 1 000,qal,infc,,,,,,,
1999500,BW>[,4Q51,1_Samuel,10,9,JBW>W,W HJH K HPNWT L LKT M <M CMW>L W JHPK LW H >LWHJM LB >XR W JBW>W KWL H >WTWT B JWM H HW>,None,None,,,,0,1 111 1 11111 1 011 1 11 11111 1 1111 11 0 000000 11 111 1 11111 111 1 11111 1 111 1 000,qal,wayq,,,,,,,
