verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse,spatial_arg_type
31231_lxx,,LXX,Exodus,5,23,,"καὶ ἀφ’ οὗ πεπόρευμαι πρὸς Φαραὼ λαλῆσαι ἐπὶ τῷ σῷ ὀνόματι, ἐκάκωσε τὸν λαὸν τοῦτον, καὶ οὐκ ἐρρύσω τὸν λαόν σου.",,,,,,,,,,,,,,,,,,,,,,,
31389_mt,BW>[,MT,Exodus,6,8,HB>TJ,W HB>TJ >TKM >L H >RY >CR NF>TJ >T JDJ L TT >TH L >BRHM L JYXQ W L J<QB W NTTJ >TH LKM MWRCH >NJ JHWH,,hif,perf,W HB>TJ >TKM >L H >RY,,>L H >RY,>L H >RY/,into the land,0.0,prep,topo,inanim,det,subs,simple,factive,>L,,,,,,goal
31389_lxx,,LXX,Exodus,6,8,,"καὶ εἰσάξω ὑμᾶς εἰς τὴν γῆν, εἰς ἣν ἐξέτεινα τὴν χεῖρά μου, δοῦναι αὐτὴν τῷ Ἁβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ, καὶ δώσω ὑμῖν αὐτὴν ἐν κλήρῳ · E ἐγὼ Κύριος. E",,,,,,,,,,,,,,,,,,,,,,,
31441_mt,BW>[,MT,Exodus,6,11,B>,B> DBR >L PR<H MLK MYRJM W JCLX >T BNJ JFR>L M >RYW,,qal,impv,B>,,no complement,no complement,,,,,,,,,,,,,,,,
31441_lxx,,LXX,Exodus,6,11,,"εἴσελθε, λάλησον Φαραὼ βασιλεῖ Αἰγύπτου, ἵνα ἐξαποστείλῃ τοὺς υἱοὺς Ἰσραὴλ ἐκ τῆς γῆς αὐτοῦ.",,,,,,,,,,,,,,,,,,,,,,,
31942_mt,BW>[,MT,Exodus,7,10,JB>,W JB> MCH W >HRN >L PR<H W J<FW KN K >CR YWH JHWH W JCLK >HRN >T MVHW L PNJ PR<H W L PNJ <BDJW W JHJ L TNJN,,qal,wayq,W JB> MCH W >HRN >L PR<H,MCH W >HRN,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
31942_lxx,,LXX,Exodus,7,10,,"εἰσῆλθε δὲ Μωυσῆς καὶ Ἀαρὼν ἐναντίον Φαραὼ καὶ τῶν θεραπόντων αὐτοῦ καὶ ἐποίησαν οὕτως, καθάπερ ἐνετείλατο αὐτοῖς Κύριος · καὶ ἔρριψεν Ἀαρὼν τὴν ράβδον ἐναντίον Φαραώ, καὶ ἐναντίον τῶν θεραπόντων αὐτοῦ, καὶ ἐγένετο δράκων.",,,,,,,,,,,,,,,,,,,,,,,
32274_mt,BW>[,MT,Exodus,7,23,JB>,W JPN PR<H W JB> >L BJTW W L> CT LBW GM L Z>T,,qal,wayq,W JB> >L BJTW,,>L BJTW,>L BJT/,to his house (Pharaoh's),0.0,prep,topo,inanim,det,subs,complex,factive,>L,,,,,,goal
32274_lxx,,LXX,Exodus,7,23,,ἐπιστραφεὶς δὲ Φαραὼ εἰσῆλθεν εἰς τὸν οἶκον αὐτοῦ καὶ οὐκ ἐπέστησε τὸν νοῦν αὐτοῦ οὐ -δὲ ἐπὶ τούτῳ.,,,,,,,,,,,,,,,,,,,,,,,
32318_mt,BW>[,MT,Exodus,7,26,B>,W J>MR JHWH >L MCH B> >L PR<H W >MRT >LJW KH >MR JHWH CLX >T <MJ W J<BDNJ,,qal,impv,B> >L PR<H,,>L PR<H,>L PR<H/,to Pharaoh,0.0,prep,pers,anim,det,subs,simple,factive,>L,,,,,,goal
32318_lxx,,LXX,Exodus,7,26,,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · εἴσελθε πρὸς Φαραὼ καὶ ἐρεῖς πρὸς αὐτόν · τάδε λέγει Κύριος · ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι λατρεύσωσιν ·",,,,,,,,,,,,,,,,,,,,,,,
32355_mt,BW>[,MT,Exodus,7,28,B>W,W CRY H J>R YPRD<JM W <LW W B>W B BJTK W B XDR MCKBK W <L MVTK W B BJT <BDJK W B <MK W B TNWRJK W B MC>RWTJK,,qal,perf,W B>W B BJTK W B XDR MCKBK W <L MVTK W B BJT <BDJK W B <MK W B TNWRJK W B MC>RWTJK,,B BJTK W B XDR MCKBK W <L MVTK W B BJT <BDJK W B <MK W B TNWRJK W B MC>RWTJK,B BJT/ W B XDR/ MCKB/ W <L MVH=/ W B BJT/ <BD/ W B <M/ W B TNWR/ W B MC>RT/,in your house and in the inner room of your bed and on your bed and in the house of your servants and among your people and in your ovens and in your kneading bowls ,0.0,prep + prep,topo,inanim,det,subs,complex,factive,B,B,<L,B,,,goal
