verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,dir_he_dss,sign_info,stem,tense,motion_type,comments,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7
29834,BW>[,MT,Exodus,3,9,B>H,W <TH HNH Y<QT BNJ JFR>L B>H >LJ W GM R>JTJ >T H LXY >CR MYRJM LXYJM >TM,HNH Y<QT BNJ JFR>L B>H >LJ,Y<QT BNJ JFR>L,>LJ,>L,,0,prep,prsf,,det,prsf,simple,,,qal,perf,,,>L,,,,,,
29848,HLK[,MT,Exodus,3,10,LKH,W <TH LKH W >CLXK >L PR<H W HWY> >T <MJ BNJ JFR>L M MYRJM,LKH,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
29854,JY>[,MT,Exodus,3,10,HWY>,W <TH LKH W >CLXK >L PR<H W HWY> >T <MJ BNJ JFR>L M MYRJM,W HWY> >T <MJ BNJ JFR>L M MYRJM,,M MYRJM,MN MYRJM/,,0,prep,topo,inanim,det,nmpr,simple,,,hif,impv,,,MN,,,,,,
29870,HLK[,MT,Exodus,3,11,>LK,W J>MR MCH >L H >LHJM MJ >NKJ KJ >LK >L PR<H W KJ >WYJ> >T BNJ JFR>L M MYRJM,KJ >LK >L PR<H,,>L PR<H,>L PR<H/,,0,prep,,,det,subs,simple,,,qal,impf,,,>L,,,,,,
29875,JY>[,MT,Exodus,3,11,>WYJ>,W J>MR MCH >L H >LHJM MJ >NKJ KJ >LK >L PR<H W KJ >WYJ> >T BNJ JFR>L M MYRJM,W KJ >WYJ> >T BNJ JFR>L M MYRJM,,M MYRJM,MN MYRJM/,,0,prep,topo,inanim,det,nmpr,simple,,,hif,impf,,,MN,,,,,,
29895,JY>[,MT,Exodus,3,12,HWYJ>K,W J>MR KJ >HJH <MK W ZH LK H >WT KJ >NKJ CLXTJK B HWYJ>K >T H <M M MYRJM T<BDWN >T H >LHJM <L H HR H ZH,B HWYJ>K >T H <M M MYRJM,,M MYRJM,MN MYRJM/,,0,prep,topo,inanim,det,nmpr,simple,,,hif,infc,,,MN,,,,,,
29918,BW>[,MT,Exodus,3,13,B>,W J>MR MCH >L H >LHJM HNH >NKJ B> >L BNJ JFR>L W >MRTJ LHM >LHJ >BWTJKM CLXNJ >LJKM W >MRW LJ MH CMW MH >MR >LHM,HNH >NKJ B> >L BNJ JFR>L,>NKJ,>L BNJ JFR>L,>L BN/ JFR>L/,,0,prep,"pers,gens,topo",,det,subs,complex,,,qal,ptca,,,>L,,,,,,
29988,HLK[,MT,Exodus,3,16,LK,LK W >SPT >T ZQNJ JFR>L W >MRT >LHM JHWH >LHJ >BTJKM NR>H >LJ >LHJ >BRHM JYXQ W J<QB L >MR PQD PQDTJ >TKM W >T H <FWJ LKM B MYRJM,LK,,no complement,no complement,,,,,,,,,,,qal,impv,,,,,,,,,
30021,<LH[,MT,Exodus,3,17,><LH,W >MR ><LH >TKM M <NJ MYRJM >L >RY H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ >L >RY ZBT XLB W DBC,><LH >TKM M <NJ MYRJM >L >RY H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ >L >RY ZBT XLB W DBC,,M <NJ MYRJM,MN <NJ=/ MYRJM/,,0,prep,topo,inanim,det,subs,complex,,,hif,impf,,,MN,,,,,,
30021,<LH[,MT,Exodus,3,17,><LH,W >MR ><LH >TKM M <NJ MYRJM >L >RY H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ >L >RY ZBT XLB W DBC,><LH >TKM M <NJ MYRJM >L >RY H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ >L >RY ZBT XLB W DBC,,>L >RY H KN<NJ W H XTJ W H >MRJ W H PRZJ W H XWJ W H JBWSJ >L >RY ZBT XLB W DBC,>L >RY/ H KN<NJ/ W H XTJ/ W H >MRJ/ W H PRZJ/ W H XWJ/ W H JBWSJ/ >L >RY/ ZWB[ XLB/ W DBC/,,0,prep + prep,,,det,subs,complex,,,hif,impf,,,>L,>L,,,,,
