verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse
2106536,JY>[,Mas1d,Ezekiel,38,4,HWY>TJ,W CWBBTJK W NTTJ XXJM B LXJJK W HWY>TJ >WTK W >T KL XJLK SWSJM W PRCJM LBCJ MKLWL KLM QHL RB YNH W MGN TPFJ XRBWT KLM,1 1111111 1 1111 1111 1 11111 0 011111 1111 1 11 11 1111 11111 1 11111 1100 00111 111 111 11 111 1 111 1111 11111 111,hif,perf,None,None,,,,,,,,,,,,,,,,,,,reconstructed,[W CWBBTJK W NTTJ XXJM B LXJJK] W H[WY>TJ >WTK W >T KL XJLK SWSJM W PRCJM LB]CJ MK[LWL KLM QHL RB YNH W MGN TPFJ XRBWT KLM]
283926,QHL[,MT,Ezekiel,38,7,NQHLJM,HKN W HKN LK >TH W KL QHLK H NQHLJM <LJK W HJJT LHM L MCMR,,nif,ptca,H NQHLJM <LJK,,<LJK,<L,upon you,0,prep,prps,anim,det,prsf,simple,factive,location,<L,,,,,,,
2106592,QHL[,Mas1d,Ezekiel,38,7,NQHLJM,HKN W HKN LK >TH W KL QHLK H NQHLJM <LJK W HJJT LHM L MCMR,000 0 000 11 111 1 11 1111 1 111111 1111 0 0000 000 0 1111,nif,ptca,H NQHLJM <LJK,,<LJK,,upon you,0,prep,prps,anim,det,prsf,simple,,,<LJK,,,,,,reconstructed,HKN W HKN [LK >TH W KL QHLK H NQHLJM <LJK] W HJJT LHM L [MCMR]
283941,BW>[,MT,Ezekiel,38,8,TBW>,M JMJM RBJM TPQD B >XRJT H CNJM TBW> >L >RY MCWBBT M XRB MQBYT M <MJM RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM,,qal,impf,B >XRJT H CNJM TBW> >L >RY,,>L >RY,>L >RY/,to a land,0,prep,place,inanim,und,subs,simple,factive,goal,>L,,,,,,,
2106608,BW>[,Mas1d,Ezekiel,38,8,TBW>,M JMJM RBJM TPQD B >XRJT H CNJM TBW> >L >RY MCWBBT M XRB MQBYT M <MJM RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM,1 1111 1111 1111 1 11111 0 0000 1111 11 111 111111 1 111 11111 0 0001 1111 11 111 11111 111 111 1 1111 1111 1 111 1 1111 11111 1 1111 1 111 111,qal,impf,B >XRJT H CNJM TBW> >L >RY,,>L >RY,,to a land,0,prep,place,inanim,und,subs,simple,,,>L,,,,,,reconstructed,[M JMJM RBJM TPQD B >XRJT] H CNJM [TBW> >L >RY MCWBBT M XRB MQBYT] M <MJ[M RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM]
2106611,CWB[,Mas1d,Ezekiel,38,8,MCWBBT,M JMJM RBJM TPQD B >XRJT H CNJM TBW> >L >RY MCWBBT M XRB MQBYT M <MJM RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM,1 1111 1111 1111 1 11111 0 0000 1111 11 111 111111 1 111 11111 0 0001 1111 11 111 11111 111 111 1 1111 1111 1 111 1 1111 11111 1 1111 1 111 111,polel,ptca,MCWBBT M XRB,,M XRB,,,0,,,,,,,,,M,,,,,,reconstructed,[M JMJM RBJM TPQD B >XRJT] H CNJM [TBW> >L >RY MCWBBT M XRB MQBYT] M <MJ[M RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM]
2106630,JY>[,Mas1d,Ezekiel,38,8,HWY>H,M JMJM RBJM TPQD B >XRJT H CNJM TBW> >L >RY MCWBBT M XRB MQBYT M <MJM RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM,1 1111 1111 1111 1 11111 0 0000 1111 11 111 111111 1 111 11111 0 0001 1111 11 111 11111 111 111 1 1111 1111 1 111 1 1111 11111 1 1111 1 111 111,hof,perf,W HJ> M <MJM HWY>H,HJ>,M <MJM,,,0,,,,,,,,,M,,,,,,reconstructed,[M JMJM RBJM TPQD B >XRJT] H CNJM [TBW> >L >RY MCWBBT M XRB MQBYT] M <MJ[M RBJM <L HRJ JFR>L >CR HJW L XRBH TMJD W HJ> M <MJM HWY>H W JCBW L BVX KLM]
283970,<LH[,MT,Ezekiel,38,9,<LJT,W <LJT K C>H TBW> K <NN L KSWT H >RY THJH >TH W KL >GPJK W <MJM RBJM >WTK,,qal,perf,W <LJT,,no complement,no complement,,,,,,,,,,,,,,,,,,
283974,BW>[,MT,Ezekiel,38,9,TBW>,W <LJT K C>H TBW> K <NN L KSWT H >RY THJH >TH W KL >GPJK W <MJM RBJM >WTK,,qal,impf,K C>H TBW>,,no complement,no complement,,,,,,,,,,,,,,,,,,
284002,<LH[,MT,Ezekiel,38,10,J<LW,KH >MR >DNJ JHWH W HJH B JWM H HW> J<LW DBRJM <L LBBK W XCBT MXCBT R<H,,qal,impf,B JWM H HW> J<LW DBRJM <L LBBK,DBRJM,<L LBBK,<L LBB/,in your mind,0,prep,abs,inanim,det,subs,complex,fictive,goal,<L,,,,,,,
